[NIFTY 50 Options List]
Symbol,ltp,Strike_Price,Put_Buy%,Put_Sell%,Call_Buy%,Call_Sell%,Day_Range,Week_Range,Month_Range
ADANIENT,2262.0,2260.0,2.8000000000000003,2.7,3.4000000000000004,3.3000000000000003,2.62,6.17,12.52
ADANIPORTS,1530.5,1540.0,2.4,2.3,2.3,3.8,1.59,4.31,9.19
APOLLOHOSP,7287.5,7300.0,1.5,2.1,2.1,3.6999999999999997,1.13,3.41,8.44
ASIANPAINT,2867.6,2860.0,1.7000000000000002,1.7000000000000002,2.3,2.7,1.34,4.67,9.04
AXISBANK,1275.7,1280.0,1.9,2.8000000000000003,2.0,3.8,1.45,3.32,8.24
BAJAJ-AUTO,9096.0,9100.0,2.0,2.3,2.5,3.4000000000000004,1.82,3.17,9.02
BAJAJFINSV,2081.8,2080.0,1.7999999999999998,3.0,2.6,4.6,1.89,4.94,7.87
BAJFINANCE,1021.1,1020.0,2.1999999999999997,2.6,2.6,4.0,2.22,5.3,10.17
BHARTIARTL,2089.7,2080.0,1.3,1.3,2.5,4.1000000000000005,1.52,4.39,8.01
CIPLA,1523.1,1520.0,1.5,2.6,2.1999999999999997,4.1000000000000005,1.24,3.43,7.53
COALINDIA,379.65,379.75,1.5,1.4000000000000001,1.7999999999999998,1.7000000000000002,1.14,3.36,6.86
DRREDDY,1260.1,1260.0,1.7999999999999998,3.2,2.1999999999999997,3.6999999999999997,1.64,3.91,8.74
EICHERMOT,7125.5,7150.0,2.0,2.6,2.1999999999999997,2.1,2.04,4.74,8.13
ETERNAL,301.5,300.0,2.3,4.0,3.5999999999999996,6.0,2.1,6.77,12.81
GRASIM,2731.5,2740.0,1.7999999999999998,2.4,1.9,2.9000000000000004,1.55,4.19,9.55
HCLTECH,1642.9,1640.0,2.0,3.4000000000000004,2.5,4.1000000000000005,1.59,4.02,10.21
HDFCBANK,1002.1,1000.0,1.3,2.3,2.0,3.9,1.64,3.0,5.12
HDFCLIFE,766.75,770.0,2.1,2.0,2.0,2.9000000000000004,1.74,3.95,9.18
HEROMOTOCO,6295.5,6300.0,2.3,3.8,2.8000000000000003,4.1000000000000005,1.6,4.58,9.5
HINDALCO,810.8,810.0,2.0,2.7,2.8000000000000003,3.9,1.64,5.64,9.22
HINDUNILVR,2464.5,2460.0,0.8,0.8,1.0999999999999999,1.0999999999999999,1.08,3.69,8.07
ICICIBANK,1390.1,1390.0,1.4000000000000001,1.7000000000000002,1.7999999999999998,2.9000000000000004,1.16,3.56,6.23
INDUSINDBK,847.15,850.0,2.9000000000000004,2.9000000000000004,2.8000000000000003,2.8000000000000003,2.25,5.54,11.59
INFY,1564.0,1560.0,2.1,3.0,2.5,4.7,1.59,4.21,8.45
ITC,404.25,405.0,1.4000000000000001,1.5,1.6,2.4,1.09,2.91,6.2
JIOFIN,304.75,305.0,2.1,2.6,2.8000000000000003,3.9,1.57,4.04,11.22
JSWSTEEL,1168.4,1170.0,2.5,2.4,2.9000000000000004,3.6999999999999997,2.57,4.82,8.11
KOTAKBANK,2147.6,2140.0,1.4000000000000001,1.4000000000000001,2.1999999999999997,3.5000000000000004,1.57,3.26,8.55
LT,4073.2,4080.0,1.9,1.6,1.9,2.5,1.44,3.54,7.61
M&M,3741.6,3750.0,2.4,2.4,2.5,3.9,1.54,3.93,8.43
MARUTI,16097.0,16100.0,1.5,1.4000000000000001,2.1999999999999997,2.1999999999999997,1.66,3.25,7.88
NESTLEIND,1260.6,1260.0,1.7999999999999998,2.4,2.1999999999999997,3.5000000000000004,1.48,3.95,8.13
NTPC,327.1,327.5,1.5,1.6,2.0,3.0,1.13,2.95,6.38
ONGC,244.83,245.0,1.7999999999999998,3.1,2.1,2.1999999999999997,1.33,3.45,6.61
POWERGRID,269.65,270.0,1.6,2.1999999999999997,2.1999999999999997,3.2,1.6,3.78,7.95
RELIANCE,1566.1,1570.0,1.5,2.0,1.9,3.0,1.4,3.1,7.39
SBILIFE,1971.6,1980.0,1.9,2.0,2.0,3.3000000000000003,2.17,3.41,7.43
SBIN,973.1,975.0,1.6,1.7999999999999998,2.0,2.7,1.54,2.88,6.3
SUNPHARMA,1807.4,1800.0,1.4000000000000001,2.4,2.1999999999999997,3.3000000000000003,1.37,2.84,7.45
TATACONSUM,1163.8,1160.0,1.7999999999999998,2.8000000000000003,2.6,4.2,2.11,4.03,6.79
TATASTEEL,168.63,167.5,1.9,1.9,3.0,3.5999999999999996,1.7,5.07,10.43
TCS,3133.4,3140.0,1.7000000000000002,2.4,2.1,3.3000000000000003,1.31,3.1,8.31
TECHM,1529.5,1520.0,1.9,3.1,2.9000000000000004,4.9,1.84,3.64,10.9
TITAN,3894.9,3900.0,1.7000000000000002,1.6,2.0,2.0,1.43,3.48,9.86
TRENT,4215.9,4200.0,2.1999999999999997,3.2,3.3000000000000003,5.8999999999999995,1.73,3.89,17.42
ULTRACEMCO,11662.0,11700.0,1.5,2.1999999999999997,1.9,2.7,1.6,2.71,7.26
WIPRO,250.28,250.0,2.0,3.2,2.6,3.6999999999999997,1.51,3.37,8.54
