CIPLA | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=CIPLA&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/CIPLA/">🎯</a>,1584.0,386.241,65,2025-06-27,0.82,13.0,27,479 cr,5,392 cr,buy,1454.5,852.0,355.3,1500.69,1380.52,1242.13,1.48,4.22,4.22
Chain,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25
Bid,0.0,0.25,1840,235.5,226.05
Ask,26.15,0.8,1840,250.6,266.65
Ask,25.7,1.05,1800,210.65,226.7
Bid,0.0,0.95,1800,200.05,187.25
Ask,25.65,2.05,1760,172.0,184.25
Bid,4.1,1.8,1760,155.2,153.4
Ask,,2.85,1740,153.1,
Bid,,2.7,1740,136.3,
Bid,0.0,4.05,1720,117.95,111.65
Ask,26.0,4.2,1720,134.65,148.0
Bid,0.0,6.0,1700,106.95,
Ask,20.0,6.25,1700,110.85,
Ask,41.65,8.85,1680,97.7,124.7
Bid,0.0,8.5,1680,86.55,0.0
Ask,,12.55,1660,81.0,
Bid,,12.2,1660,76.1,
Ask,36.0,17.7,1640,66.25,79.55
Bid,0.0,17.2,1640,59.45,0.0
Bid,0.0,23.85,1620,48.45,
Ask,0.0,24.75,1620,55.05,
Ask,95.85,33.35,1600,38.3,85.2
Bid,0.0,32.6,1600,35.7,0.0
Bid,0.0,42.3,1580,28.05,
Ask,0.0,43.85,1580,28.65,
Ask,128.75,56.1,1560,21.1,0.0
Bid,0.0,51.65,1560,20.4,30.75
Ask,,70.25,1540,15.25,
Bid,,64.75,1540,14.7,
Bid,76.2,80.35,1520,10.35,18.7
Ask,0.0,91.0,1520,10.9,0.0
Ask,,106.1,1500,7.65,
Bid,,97.3,1500,6.3,
Ask,190.05,125.85,1480,5.45,0.0
Bid,115.7,113.75,1480,5.25,8.85
Ask,,148.2,1460,3.8,
Bid,,132.75,1460,3.6,
Ask,178.9,164.95,1440,2.8,12.0
Bid,154.9,150.7,1440,2.5,4.35
Bid,,169.25,1420,1.5,
Ask,,186.85,1420,2.0,
Ask,217.9,200.65,1400,1.35,10.0
Bid,195.95,188.75,1400,1.15,1.9
Bid,,209.85,1380,1.0,
Ask,,225.2,1380,2.65,
Bid,235.9,228.95,1360,0.6,1.05
Ask,261.2,246.1,1360,4.7,15.6
Bid,,248.5,1340,0.3,
Ask,,265.2,1340,5.2,
Ask,304.6,285.0,1320,1.5,17.8
Bid,273.05,268.3,1320,0.25,0.0
Bid,,307.75,1280,0.25,
Ask,,325.35,1280,2.45,
Ask,,364.4,1240,1.2,
Bid,,346.55,1240,0.15,
