COALINDIA | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=COALINDIA&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/COALINDIA/">🎯</a>,377.5,160.772,36,2025-08-21,1.36,5.15,125,667 cr,33,142 cr,buy,349.25,349.25,109.55,364.61,307.27,288.74,1.41,3.17,3.17
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,0.05,450,70.4,,
Ask,,,0.1,450,73.95,,
Ask,,1.9,0.25,440,64.2,63.7,
Bid,,0.2,0.1,440,60.8,59.5,
Ask,,3.0,0.25,430,54.35,55.05,
Bid,,0.3,0.2,430,50.65,49.45,
Ask,,,0.4,425,49.6,,
Bid,,,0.1,425,45.85,,
Bid,0.7,0.8,0.3,420,41.35,40.7,
Ask,0.0,3.4,0.35,420,44.5,45.2,
Bid,,0.0,0.3,415,37.85,,
Ask,,0.0,0.4,415,38.8,,
Ask,0.0,2.5,0.6,410,34.95,34.95,
Bid,1.55,2.0,0.5,410,31.2,32.0,
Ask,,0.0,0.8,405,29.25,,
Bid,,0.0,0.75,405,28.35,,
Ask,10.95,4.0,1.2,400,24.6,26.25,0.0
Bid,4.7,3.7,1.1,400,23.7,23.75,0.0
Bid,,0.0,1.65,395,19.25,,
Ask,,0.0,1.7,395,20.8,,
Ask,0.0,9.1,2.55,390,15.45,21.5,0.0
Bid,4.0,4.25,2.45,390,15.05,14.6,8.6
Ask,,0.0,3.8,385,12.85,,
Bid,,0.0,3.75,385,11.5,,
Ask,0.0,12.75,5.65,380,9.0,15.0,0.0
Bid,5.0,9.55,5.5,380,8.45,8.5,3.0
Ask,,0.0,8.0,375,6.05,,
Bid,,0.0,7.85,375,5.95,,
Bid,,8.6,10.8,370,3.95,5.3,2.0
Ask,,19.9,11.05,370,4.1,9.9,0.0
Ask,,,14.6,365,2.65,,
Bid,,,14.0,365,2.6,,
Ask,,24.4,18.7,360,1.7,5.0,
Bid,,20.65,18.0,360,1.65,3.2,
Bid,,,22.4,355,1.1,,
Ask,,,23.05,355,1.2,,
Ask,,35.5,27.75,350,0.8,6.35,6.0
Bid,,28.25,27.05,350,0.7,1.15,2.3
Bid,,,31.45,345,0.5,0.0,
Ask,,,34.2,345,0.6,6.0,
Bid,,37.2,36.45,340,0.35,0.4,
Ask,,45.65,37.45,340,0.45,6.35,
Bid,,,40.55,335,0.2,,
Ask,,,44.45,335,0.75,,
Ask,,54.05,48.8,330,0.3,5.0,
Bid,,46.75,45.2,330,0.15,0.2,
Bid,,57.3,55.05,320,0.15,0.5,
Ask,,64.9,58.95,320,0.25,5.95,
Ask,,71.6,68.4,310,0.2,2.0,
Bid,,66.05,65.3,310,0.1,0.0,
