DRREDDY | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=DRREDDY&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/DRREDDY/">🎯</a>,1259.2,420.557,92,2025-07-10,0.64,8.0,33,426 cr,5,680 cr,hold,1020.0,730.8,374.59,1180.51,1117.97,1005.47,1.54,4.36,4.36
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,0.05,0.05,,1520,,259.35,
Ask,0.0,10.0,,1520,,283.4,
Ask,,,0.8,1480,231.3,,
Bid,,,0.5,1480,217.55,,
Ask,0.0,10.0,1.25,1440,193.5,203.55,
Bid,0.05,0.15,0.9,1440,179.0,178.8,
Ask,,,2.35,1420,174.8,,
Bid,,,0.6,1420,160.8,,
Bid,,5.4,1.85,1400,143.6,146.15,
Ask,,10.0,1.95,1400,154.1,164.9,
Bid,,0.05,2.2,1380,122.75,,
Ask,,0.0,2.85,1380,135.75,,
Ask,,34.4,4.05,1360,110.95,0.0,
Bid,,5.0,3.85,1360,108.35,104.5,
Ask,,0.0,6.2,1340,92.95,,
Bid,,9.0,6.0,1340,91.65,,
Ask,,33.2,9.45,1320,76.2,107.5,
Bid,,0.0,9.0,1320,74.4,71.05,
Bid,,0.0,13.6,1300,59.85,,
Ask,,30.0,13.95,1300,60.85,,
Ask,,0.0,20.4,1280,47.3,0.0,
Bid,,0.0,19.9,1280,46.25,43.6,
Ask,,0.0,28.65,1260,35.6,,
Bid,,0.0,28.2,1260,35.0,,
Ask,,86.0,39.0,1240,26.05,0.0,
Bid,,0.0,38.4,1240,25.4,27.9,
Ask,,,51.55,1220,18.4,,
Bid,,,50.5,1220,17.75,,
Bid,,65.2,64.65,1200,12.2,20.1,
Ask,,0.0,65.95,1200,12.7,26.05,
Ask,,,82.0,1180,8.6,0.0,
Bid,,,80.5,1180,8.2,0.05,
Ask,,125.75,98.95,1160,5.75,29.6,0.0
Bid,,93.6,97.65,1160,5.45,7.45,0.05
Bid,,,111.75,1140,3.75,0.05,
Ask,,,117.25,1140,3.95,0.0,
Ask,,163.45,141.35,1120,2.7,0.0,0.0
Bid,,127.55,129.8,1120,2.35,3.9,0.05
Bid,,,147.45,1100,1.45,,
Ask,,,160.2,1100,1.9,,
Bid,,164.45,166.75,1080,0.9,0.05,
Ask,,203.9,181.4,1080,1.1,0.0,
Bid,,,186.4,1060,0.6,,
Ask,,,199.15,1060,2.0,,
Ask,,243.4,218.9,1040,2.6,0.0,10.0
Bid,,203.95,205.75,1040,0.5,0.05,0.1
Bid,,,246.55,1000,0.45,,
Ask,,,259.2,1000,0.75,,
Ask,,322.55,,960,,,
Bid,,282.9,,960,,,
