ETERNAL | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=ETERNAL&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/ETERNAL/">🎯</a>,310.95,31.094,27,None,nan,nan,23,204 cr,299 cr,buy,nan,nan,nan,nan,nan,nan,2.49,7.67,7.67
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,0.65,370,50.5,,
Ask,,,0.7,370,55.25,,
Ask,0.0,5.05,1.2,360,43.05,48.05,
Bid,0.1,4.9,1.15,360,42.45,43.75,
Ask,0.0,7.0,2.1,350,34.2,39.75,
Bid,0.1,6.9,2.05,350,33.2,35.85,
Ask,,,2.8,345,32.05,,
Bid,,,2.7,345,28.25,,
Bid,,9.35,3.6,340,25.15,28.55,
Ask,,9.75,3.65,340,25.65,33.85,
Bid,,9.75,4.8,335,21.5,26.1,
Ask,,11.5,4.95,335,21.9,30.55,
Ask,,13.25,6.4,330,18.35,24.0,
Bid,,12.65,6.25,330,18.0,23.05,
Ask,,15.45,8.3,325,15.25,21.55,
Bid,,14.0,8.15,325,14.95,20.35,
Ask,,17.4,10.55,320,12.5,18.3,
Bid,,17.05,10.4,320,12.25,17.6,
Ask,,20.1,13.2,315,10.0,18.1,
Bid,,18.75,13.0,315,9.85,14.5,
Ask,,22.7,16.25,310,8.05,13.7,
Bid,,21.8,16.0,310,7.95,12.05,
Ask,,25.7,19.75,305,6.45,11.5,
Bid,,21.65,19.3,305,6.3,9.05,
Ask,,29.85,23.45,300,5.05,9.45,0.0
Bid,,25.65,22.95,300,5.0,9.1,1.0
Bid,,,26.6,295,3.8,6.95,
Ask,,,27.25,295,3.9,9.95,
Ask,,37.1,31.2,290,2.95,6.9,0.0
Bid,,32.5,30.55,290,2.9,6.3,0.0
Bid,,,32.4,285,2.15,,
Ask,,,36.85,285,2.25,,
Bid,,40.55,39.2,280,1.6,4.55,
Ask,,45.2,40.0,280,1.7,4.7,
Bid,,,41.2,275,1.25,,
Ask,,,45.8,275,1.35,,
Ask,,56.1,49.35,270,1.0,6.0,
Bid,,47.5,48.25,270,0.85,2.05,
Bid,,56.1,55.25,260,0.55,0.95,
Ask,,65.15,60.15,260,0.65,5.45,
Ask,,,,240,0.35,,
Bid,,,,240,0.25,,
