HDFCBANK | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=HDFCBANK&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/HDFCBANK/">🎯</a>,958.6,354.293,2,2025-06-27,2.3,22.0,273,606 cr,70,575 cr,strong_buy,812.15,681.78,369.38,949.17,890.29,750.16,1.21,2.9,2.9
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,0.35,0.25,1160,,,
Ask,,1.95,0.3,1160,,,
Ask,,,0.4,1140,183.7,,
Bid,,,0.3,1140,175.3,,
Ask,0.0,1.6,0.4,1120,162.35,,
Bid,1.15,1.4,0.35,1120,153.7,,
Ask,,,0.6,1110,152.45,,
Bid,,,0.25,1110,145.55,,
Bid,,1.85,0.4,1100,138.9,132.6,
Ask,,2.15,0.45,1100,139.8,140.55,
Bid,,,0.45,1090,124.05,,
Ask,,,0.55,1090,132.7,,
Ask,0.0,5.3,0.55,1080,121.05,123.1,
Bid,1.3,1.55,0.45,1080,118.85,113.35,
Ask,,,0.65,1070,113.0,,
Bid,,,0.6,1070,104.2,,
Bid,3.2,3.45,0.75,1060,96.3,95.0,
Ask,0.0,3.95,0.8,1060,103.25,103.6,
Bid,,3.25,0.95,1050,89.7,,
Ask,,0.0,1.0,1050,90.5,,
Ask,0.0,12.8,1.3,1040,80.8,89.15,
Bid,0.1,3.6,1.25,1040,80.2,75.9,
Ask,,17.0,1.75,1030,71.15,,
Bid,,4.5,1.7,1030,70.85,,
Ask,,9.1,2.45,1020,61.9,68.55,
Bid,,7.85,2.4,1020,61.35,60.75,
Ask,,11.95,3.4,1010,52.9,,
Bid,,8.3,3.3,1010,52.45,,
Ask,,13.3,4.8,1000,44.35,47.7,
Bid,,12.95,4.7,1000,44.05,46.95,
Bid,,13.35,6.6,990,36.05,37.5,
Ask,,19.5,6.7,990,36.45,44.25,
Bid,,19.7,9.2,980,28.85,33.85,
Ask,,20.1,9.3,980,29.05,36.6,
Bid,,23.65,12.75,970,22.45,24.4,
Ask,,24.85,12.85,970,22.65,30.45,
Bid,,28.55,17.25,960,17.05,23.0,
Ask,,30.75,17.35,960,17.2,25.55,
Bid,,34.0,22.8,950,12.7,18.7,
Ask,,35.0,22.95,950,12.85,19.85,
Bid,,32.8,29.35,940,9.4,12.5,0.0
Ask,,44.5,29.6,940,9.45,17.6,0.0
Ask,,,37.25,930,6.9,16.05,
Bid,,,36.75,930,6.85,10.75,
Ask,,56.05,45.15,920,5.05,10.35,0.0
Bid,,49.5,44.6,920,5.0,9.55,3.1
Ask,,,53.6,910,3.75,9.95,
Bid,,,53.3,910,3.65,4.45,
Bid,,65.4,62.2,900,2.65,6.25,7.35
Ask,,72.4,62.6,900,2.7,6.45,0.0
Ask,,,71.85,890,2.0,,
Bid,,,71.4,890,1.9,,
Bid,,81.7,80.8,880,1.35,2.4,0.05
Ask,,90.8,81.2,880,1.45,5.25,0.0
Bid,,,87.25,870,1.0,,
Ask,,,95.55,870,1.05,,
Bid,,100.05,97.0,860,0.75,1.1,0.05
Ask,,113.55,103.9,860,0.8,7.55,0.0
Ask,,132.2,123.55,840,0.5,6.4,0.0
Bid,,119.7,116.7,840,0.45,0.5,0.05
Bid,,138.25,136.2,820,0.3,0.05,
Ask,,151.95,144.05,820,0.8,6.7,
Ask,,,,800,,7.15,0.0
Bid,,,,800,,0.35,0.2
