HINDUNILVR | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=HINDUNILVR&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/HINDUNILVR/">🎯</a>,2660.2,210.258,7,2025-06-23,0.9,24.0,63,928 cr,10,795 cr,buy,2258.7,2136.0,100.5,2496.15,2149.91,1967.32,1.99,4.94,4.94
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,2.1,3.0,3040,349.8,,
Ask,,0.0,3.05,3040,374.7,,
Ask,,0.0,4.1,3000,336.0,,
Bid,,3.3,3.95,3000,312.6,,
Ask,,0.0,5.4,2960,297.4,349.9,
Bid,,3.1,5.2,2960,272.45,258.05,
Ask,,,6.25,2940,278.35,,
Bid,,,6.1,2940,253.4,,
Bid,,0.0,7.15,2920,234.65,221.0,
Ask,,75.65,7.3,2920,259.15,310.4,
Bid,,10.1,8.45,2900,228.35,,
Ask,,94.05,8.8,2900,231.0,,
Ask,,75.65,10.4,2880,222.45,270.9,
Bid,,0.0,10.2,2880,193.95,188.5,
Ask,,,12.4,2860,196.25,,
Bid,,,12.1,2860,192.45,,
Bid,,0.0,14.45,2840,173.75,149.55,
Ask,,69.75,14.75,2840,185.4,234.0,
Bid,,0.0,17.25,2820,157.45,,
Ask,,0.0,17.45,2820,162.15,,
Bid,0.0,23.0,20.6,2800,141.35,115.4,
Ask,0.0,69.75,20.9,2800,143.45,187.2,
Bid,,,24.55,2780,125.05,,
Ask,,,24.9,2780,127.8,,
Bid,,0.0,29.3,2760,110.2,68.8,
Ask,,88.9,29.75,2760,113.05,170.45,
Ask,,100.5,35.4,2740,97.6,,
Bid,,0.0,34.85,2740,96.2,,
Bid,,0.0,41.55,2720,83.25,84.0,
Ask,,88.65,42.1,2720,84.35,131.8,
Ask,,80.3,49.45,2700,72.65,,
Bid,,75.0,49.0,2700,71.15,,
Bid,,70.6,57.85,2680,60.2,63.95,
Ask,,120.55,58.45,2680,60.9,130.45,
Ask,,130.55,68.7,2660,51.05,,
Bid,,0.0,67.4,2660,50.35,,
Bid,,66.95,79.1,2640,41.85,47.6,
Ask,,126.55,80.1,2640,42.4,88.8,
Ask,,,92.45,2620,34.95,,
Bid,,,91.4,2620,34.45,,
Ask,,184.85,113.45,2600,28.6,101.95,
Bid,,0.0,104.9,2600,28.1,21.65,
Ask,,,120.6,2580,23.1,,
Bid,,,118.6,2580,22.7,,
Ask,,225.75,135.75,2560,18.45,0.0,
Bid,,118.9,133.4,2560,18.05,0.0,
Ask,,,152.35,2540,14.85,,
Bid,,,149.5,2540,14.55,,
Bid,,159.6,166.65,2520,11.5,0.0,0.0
Ask,,265.25,169.9,2520,11.9,0.0,0.0
Bid,,,183.8,2500,9.15,0.0,
Ask,,,187.1,2500,9.55,0.0,
Ask,,304.75,220.35,2480,8.0,,
Bid,,195.7,193.2,2480,7.3,,
Bid,,,212.75,2460,5.7,,
Ask,,,231.65,2460,6.1,,
Bid,,235.2,236.6,2440,4.65,,
Ask,,344.25,243.15,2440,4.85,,
Bid,,,247.6,2420,3.05,,
Ask,,,272.6,2420,4.95,,
Bid,,274.7,275.35,2400,3.1,4.1,4.5
Ask,,383.75,281.9,2400,3.3,0.0,0.0
Bid,,,288.15,2380,1.65,,
Ask,,,312.45,2380,3.25,,
Bid,,,307.65,2360,2.0,,
Ask,,,330.4,2360,2.9,,
Bid,,,327.0,2340,0.65,,
Ask,,,354.2,2340,4.45,,
Bid,,,346.65,2320,1.4,1.3,
Ask,,,369.7,2320,2.7,0.0,
Ask,,,383.95,2300,1.75,,
Bid,,,369.0,2300,1.3,,
Bid,,,386.25,2280,1.05,,
Ask,,,411.2,2280,2.65,,
Bid,,,405.95,2260,0.9,,
Ask,,,431.9,2260,2.6,,
Bid,,,425.7,2240,0.8,,
Ask,,,452.15,2240,2.45,,
Ask,,,485.15,2200,0.95,,
Bid,,,466.65,2200,0.85,,
Bid,,,504.55,2160,0.3,,
Ask,,,530.8,2160,1.3,,
Ask,,,567.2,2120,1.2,,
Bid,,,542.75,2120,0.05,,
