INDUSINDBK | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=INDUSINDBK&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/INDUSINDBK/">🎯</a>,748.55,832.415,167,2024-06-28,2.2,16.5,17,823 cr,1,008 cr,underperform,606.0,990.0,235.55,699.74,596.86,377.05,1.74,6.01,6.01
Chain,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25
Bid,,0.25,960,211.1,
Ask,,0.7,960,216.8,
Ask,,0.9,950,207.75,
Bid,,0.2,950,202.25,
Ask,,0.9,940,198.15,
Bid,,0.2,940,191.2,
Ask,,1.0,930,188.25,
Bid,,0.25,930,181.3,
Bid,,0.35,920,171.5,
Ask,,1.0,920,178.3,
Bid,,0.25,910,160.45,
Ask,,1.2,910,168.2,
Ask,9.4,0.7,900,156.55,161.25
Bid,1.4,0.65,900,154.0,149.55
Ask,,1.4,890,148.55,
Bid,,0.5,890,141.45,
Bid,2.05,0.7,880,133.55,130.45
Ask,10.55,0.95,880,138.35,143.4
Ask,,1.6,870,128.8,
Bid,,0.6,870,122.15,
Ask,7.9,1.3,860,116.1,121.8
Bid,0.0,1.05,860,113.8,109.3
Ask,,1.55,850,106.35,
Bid,,1.4,850,105.3,
Ask,36.2,2.05,840,98.8,123.3
Bid,0.0,1.9,840,95.65,89.55
Ask,,2.6,830,87.65,
Bid,,2.4,830,86.45,
Bid,0.0,3.2,820,77.35,69.8
Ask,42.0,3.3,820,78.25,115.75
Ask,,4.3,810,72.15,
Bid,,4.2,810,67.1,
Bid,0.0,5.5,800,59.9,0.0
Ask,39.6,5.6,800,60.75,87.95
Ask,,7.4,790,54.5,
Bid,,7.15,790,51.25,
Bid,0.0,9.6,780,44.05,0.0
Ask,64.8,9.8,780,46.0,92.45
Bid,,12.15,770,36.95,
Ask,,12.35,770,37.7,
Bid,0.0,15.6,760,30.5,0.0
Ask,78.4,15.8,760,31.2,90.35
Bid,0.0,19.7,750,24.7,
Ask,0.0,19.95,750,25.15,
Bid,0.0,24.5,740,19.7,0.0
Ask,77.7,24.85,740,20.0,72.85
Ask,0.0,30.5,730,15.65,
Bid,0.0,30.05,730,15.35,
Ask,77.65,36.95,720,12.0,52.65
Bid,0.0,36.15,720,11.75,0.0
Bid,,43.2,710,8.85,
Ask,,43.9,710,9.2,
Ask,75.8,52.1,700,6.85,25.0
Bid,0.0,50.7,700,6.7,0.0
Bid,,55.4,690,5.0,
Ask,,61.2,690,5.1,
Bid,66.1,64.45,680,3.75,0.0
Ask,98.2,71.25,680,3.85,27.65
Bid,,73.15,670,2.75,
Ask,,79.85,670,2.9,
Ask,113.6,89.4,660,2.3,24.95
Bid,85.75,82.7,660,2.15,2.2
Bid,105.1,102.05,640,1.2,1.3
Ask,136.05,109.75,640,1.35,27.65
Ask,155.8,127.45,620,0.95,27.65
Bid,125.0,121.5,620,0.85,1.05
