INFY | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=INFY&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/INFY/">🎯</a>,1486.4,2.67,8,2025-05-30,1.48,22.0,1,950 cr,320 cr,buy,1307.0,1358.35,1185.3,1383.49,1262.63,1249.38,1.44,4.4,4.4
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,0.3,1920,432.6,,
Ask,,,0.7,1920,441.35,,
Ask,,,0.55,1800,324.05,,
Bid,,,0.5,1800,319.65,,
Ask,0.0,2.5,0.9,1760,288.1,292.8,
Bid,0.05,1.9,0.5,1760,273.45,281.3,
Ask,,11.5,0.8,1720,244.75,260.7,
Bid,,2.25,0.75,1720,240.65,242.9,
Bid,,,0.75,1700,221.05,,
Ask,,,0.8,1700,224.45,,
Bid,,5.25,1.15,1680,200.35,206.45,0.0
Ask,,6.35,1.2,1680,208.55,217.4,0.0
Ask,,,1.55,1660,189.0,,
Bid,,,1.5,1660,181.3,,
Ask,,9.85,2.1,1640,169.8,181.1,
Bid,,9.25,2.0,1640,162.85,170.0,
Ask,,0.0,2.95,1620,150.95,,
Bid,,0.0,2.85,1620,141.0,,
Ask,40.0,15.4,4.35,1600,127.3,143.05,0.0
Bid,0.0,14.65,4.2,1600,125.25,137.25,92.0
Ask,,19.4,6.2,1580,109.45,,
Bid,,15.7,6.05,1580,107.4,,
Ask,,23.6,8.95,1560,95.9,110.2,
Bid,,23.0,8.7,1560,89.95,107.35,
Ask,,32.85,12.8,1540,75.5,0.0,
Bid,,0.0,12.65,1540,74.4,0.0,
Ask,,37.7,18.3,1520,61.15,88.05,0.0
Bid,,25.4,18.05,1520,60.35,78.05,61.0
Ask,,42.8,25.45,1500,48.4,69.1,
Bid,,41.75,25.25,1500,48.0,62.95,
Ask,,51.45,34.5,1480,37.65,58.2,75.5
Bid,,49.55,34.0,1480,36.9,56.35,48.0
Ask,,61.65,45.25,1460,28.5,54.15,
Bid,,54.4,44.65,1460,27.85,44.7,
Ask,,73.55,58.0,1440,20.7,39.2,63.0
Bid,,68.05,57.35,1440,20.6,38.25,36.6
Ask,,,72.7,1420,15.05,36.9,
Bid,,,71.05,1420,14.85,30.25,
Ask,,102.35,87.85,1400,10.7,25.6,40.0
Bid,,91.45,86.7,1400,10.55,25.05,30.0
Ask,,,104.8,1380,7.6,23.9,
Bid,,,100.35,1380,7.4,19.7,
Bid,,121.4,115.3,1360,5.15,15.75,21.0
Ask,,132.35,125.4,1360,5.3,16.45,0.0
Ask,,,141.1,1340,3.75,13.1,
Bid,,,138.75,1340,3.65,12.4,
Bid,,154.75,152.15,1320,2.55,9.75,
Ask,,165.7,166.45,1320,2.7,10.35,
Bid,,,176.85,1300,2.0,,
Ask,,,178.7,1300,2.05,,
Bid,,189.7,190.75,1280,1.2,2.6,2.45
Ask,,201.15,204.9,1280,1.55,10.6,0.0
Ask,,,223.2,1260,0.95,,
Bid,,,210.3,1260,0.85,,
Bid,,,230.15,1240,0.8,,
Ask,,,243.8,1240,1.0,,
Ask,,,277.3,1200,0.8,14.0,
Bid,,,273.05,1200,0.7,1.35,
