NTPC | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=NTPC&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/NTPC/">🎯</a>,328.6,189.846,21,2025-09-04,1.02,3.35,186,674 cr,23,959 cr,buy,321.35,292.8,73.2,323.31,277.97,280.06,1.28,3.23,3.23
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,0.1,390,62.5,,
Ask,,,0.15,390,63.55,,
Ask,,6.7,0.2,380,54.55,59.15,
Bid,,0.25,0.15,380,51.35,50.65,
Ask,,,0.3,375,49.75,,
Bid,,,0.1,375,46.55,,
Ask,,6.8,0.35,370,43.4,49.6,
Bid,,0.45,0.25,370,42.85,41.1,
Bid,,0.0,0.35,365,38.05,,
Ask,,0.0,0.45,365,38.5,,
Bid,0.3,0.7,0.5,360,33.35,31.35,
Ask,0.0,6.75,0.55,360,33.65,39.5,
Ask,,0.0,0.8,355,28.9,,
Bid,,0.05,0.7,355,28.6,,
Ask,0.0,5.6,1.15,350,24.3,30.55,
Bid,3.0,2.25,1.05,350,23.75,23.15,
Ask,,8.9,1.7,345,19.85,,
Bid,,0.15,1.6,345,19.6,,
Ask,0.0,10.5,2.5,340,16.1,23.65,0.0
Bid,4.0,3.1,2.4,340,15.45,14.25,5.0
Ask,,11.8,3.75,335,11.95,0.0,
Bid,,1.2,3.65,335,11.7,0.05,
Ask,0.0,11.6,5.5,330,8.7,12.8,0.0
Bid,3.2,6.95,5.4,330,8.55,9.4,5.0
Ask,,0.0,7.95,325,6.15,0.0,
Bid,,0.0,7.8,325,6.05,0.05,
Bid,,12.75,10.8,320,4.15,5.55,0.05
Ask,,16.6,11.05,320,4.25,7.95,0.0
Ask,,,14.7,315,2.9,0.0,
Bid,,,14.4,315,2.85,0.05,
Bid,,20.05,18.5,310,1.95,3.25,0.05
Ask,,25.7,18.75,310,2.0,6.75,0.0
Bid,,,22.35,305,1.35,,
Ask,,,23.75,305,1.4,,
Bid,,28.7,27.35,300,0.95,2.1,3.05
Ask,,31.0,27.8,300,1.05,2.5,0.0
Ask,,,32.45,295,0.75,,
Bid,,,32.05,295,0.65,,
Bid,,37.05,36.85,290,0.45,0.7,
Ask,,41.9,37.4,290,0.55,3.55,
Ask,,52.55,48.4,280,0.3,4.0,
Bid,,46.25,45.3,280,0.25,0.3,
