SUNPHARMA | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=SUNPHARMA&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/SUNPHARMA/">🎯</a>,1585.5,300.992,17,2025-07-07,0.35,5.5,53,777 cr,10,372 cr,buy,1636.0,1553.05,312.0,1541.57,1450.1,1390.58,1.58,4.58,4.58
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,0.65,0.9,1920,,,
Ask,,0.0,0.95,1920,,,
Ask,,,1.3,1880,285.65,,
Bid,,,0.7,1880,268.4,,
Ask,0.0,0.0,1.35,1840,246.65,267.75,
Bid,0.05,0.55,0.9,1840,229.05,223.05,
Ask,,,1.7,1820,227.1,,
Bid,,,0.75,1820,209.15,,
Bid,,2.0,1.3,1800,193.9,183.35,
Ask,,0.0,1.45,1800,205.7,228.25,
Bid,,,1.5,1780,170.1,,
Ask,,,2.55,1780,187.3,,
Ask,,36.5,2.5,1760,167.3,196.0,
Bid,,1.0,2.3,1760,150.55,142.2,
Ask,,,3.35,1740,148.25,,
Bid,,,3.15,1740,132.35,,
Ask,,30.0,4.9,1720,126.0,148.0,
Bid,,0.0,4.6,1720,120.9,103.6,
Bid,,0.0,6.55,1700,101.35,0.0,
Ask,,0.0,6.7,1700,107.05,130.0,
Ask,,0.0,10.25,1680,90.1,125.0,
Bid,,0.0,9.2,1680,87.7,0.0,
Ask,,0.0,13.6,1660,77.9,,
Bid,,0.0,13.1,1660,71.2,,
Ask,,0.0,18.95,1640,63.3,0.0,
Bid,,0.0,18.4,1640,55.0,0.0,
Ask,,0.0,26.1,1620,49.85,,
Bid,,0.0,25.1,1620,44.1,,
Bid,0.0,0.0,35.15,1600,33.9,0.0,0.0
Ask,0.0,0.0,35.35,1600,35.75,0.0,0.0
Ask,,0.0,46.8,1580,27.3,,
Bid,,0.0,44.7,1580,26.45,,
Ask,,0.0,61.85,1560,20.2,0.0,
Bid,,64.5,58.45,1560,19.0,25.0,
Ask,,,76.4,1540,18.15,,
Bid,,,73.4,1540,14.85,,
Bid,,83.1,85.05,1520,9.25,0.0,
Ask,,0.0,91.45,1520,11.35,0.0,
Ask,,,108.35,1500,8.6,0.0,
Bid,,,105.65,1500,8.0,4.95,
Bid,,122.0,118.7,1480,6.25,3.5,
Ask,,0.0,131.75,1480,7.85,0.0,
Bid,,,136.8,1460,4.6,0.05,
Ask,,,153.65,1460,4.85,0.0,
Bid,,161.9,156.75,1440,3.5,5.4,0.05
Ask,,203.75,172.55,1440,3.75,29.95,0.0
Ask,,,192.2,1420,3.5,0.0,
Bid,,,175.35,1420,2.55,0.05,
Bid,,199.75,194.9,1400,2.1,2.2,
Ask,,243.15,211.1,1400,2.2,0.0,
Ask,,282.65,250.35,1360,1.4,,
Bid,,237.05,232.95,1360,1.2,,
