TCS | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=TCS&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/TCS/">🎯</a>,3100.7,270.613,3,2025-07-16,0.35,11.0,256,148 cr,49,273 cr,buy,3056.05,3070.25,1025.95,2885.43,2703.86,2888.82,1.84,3.0,3.0
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,,3920,770.0,,
Ask,,,,3920,827.3,,
Ask,,,1.05,3760,,,
Bid,,,0.85,3760,,,
Ask,,,1.6,3640,538.9,,
Bid,,,1.35,3640,528.4,,
Ask,,6.4,1.65,3600,498.45,,
Bid,,5.7,1.55,3600,490.3,,
Bid,,3.35,1.6,3560,451.55,,
Ask,,10.0,1.95,3560,459.0,,
Bid,0.0,7.55,1.8,3520,409.7,,
Ask,0.0,8.4,1.9,3520,418.25,,
Ask,,,2.35,3480,386.15,,
Bid,,,2.3,3480,361.65,,
Ask,0.0,15.1,3.05,3440,341.0,,
Bid,23.0,14.25,2.9,3440,332.15,,
Bid,,18.0,3.75,3400,295.5,298.9,
Ask,,19.15,3.9,3400,306.95,322.15,
Bid,,,4.55,3380,271.5,,
Ask,,,4.65,3380,293.25,,
Bid,,20.1,5.25,3360,252.2,263.35,
Ask,,24.0,5.45,3360,271.1,287.65,
Bid,,,6.45,3340,237.1,,
Ask,,,6.6,3340,255.3,,
Bid,,21.0,7.7,3320,221.15,223.25,
Ask,,31.25,8.5,3320,225.65,246.8,
Bid,,32.9,9.7,3300,203.8,,
Ask,,34.9,9.95,3300,209.9,,
Ask,,39.15,12.3,3280,195.3,222.2,
Bid,,33.2,11.95,3280,186.9,200.3,
Bid,,41.8,14.4,3260,170.05,,
Ask,,47.25,15.05,3260,176.1,,
Ask,,49.25,18.55,3240,161.4,190.85,
Bid,,46.9,18.05,3240,153.75,170.6,
Ask,,56.6,22.7,3220,140.35,0.0,
Bid,,51.85,21.25,3220,137.7,0.0,
Bid,73.0,60.05,27.05,3200,123.45,148.45,120.3
Ask,123.95,61.05,27.6,3200,130.7,152.55,0.0
Bid,,62.45,32.55,3180,109.35,133.7,
Ask,,73.05,33.15,3180,114.45,144.55,
Ask,,77.85,39.75,3160,97.95,129.7,
Bid,,70.4,38.75,3160,96.55,123.5,
Ask,,86.55,47.25,3140,88.3,119.85,
Bid,,79.5,46.05,3140,83.85,109.65,
Bid,,88.7,55.0,3120,72.9,99.15,0.0
Ask,,92.85,55.95,3120,74.8,104.6,0.0
Ask,,101.9,65.65,3100,64.0,95.95,
Bid,,99.8,64.6,3100,62.5,90.15,
Ask,,119.0,76.05,3080,55.0,84.95,
Bid,,102.35,75.1,3080,53.45,82.1,
Ask,,129.1,87.85,3060,46.45,78.45,
Bid,,116.3,86.0,3060,45.2,67.8,
Ask,,141.2,102.95,3040,40.0,73.5,
Bid,,126.1,95.8,3040,37.95,64.9,
Bid,,,112.6,3020,31.7,56.05,
Ask,,,114.3,3020,32.85,62.6,
Ask,0.0,161.9,129.2,3000,27.0,52.0,125.0
Bid,198.0,156.15,125.6,3000,26.5,51.1,53.05
Ask,,,144.7,2980,22.5,48.85,
Bid,,,141.15,2980,21.8,42.5,
Bid,,171.85,147.1,2960,17.95,39.25,
Ask,,197.15,175.2,2960,18.75,41.25,
Bid,,,165.25,2940,14.85,32.75,
Ask,,,189.35,2940,15.4,38.35,
Ask,,224.25,208.3,2920,12.75,31.8,
Bid,,200.8,180.1,2920,10.05,30.25,
Bid,,,204.5,2900,10.1,0.0,
Ask,,,215.0,2900,10.35,0.0,
Bid,,224.75,215.85,2880,7.05,0.0,0.0
Ask,,282.15,245.1,2880,8.5,34.25,50.85
Bid,,,234.0,2860,6.65,,
Ask,,,263.65,2860,6.85,,
Bid,,266.9,252.75,2840,5.6,15.15,
Ask,,312.9,281.65,2840,5.95,28.8,
Bid,,,271.65,2820,4.55,,
Ask,,,300.6,2820,4.7,,
Bid,,,301.7,2800,3.8,12.65,14.0
Ask,,,305.35,2800,3.9,14.95,0.0
Bid,,,306.85,2780,3.2,,
Ask,,,338.05,2780,3.35,,
Ask,,,358.35,2760,2.85,18.25,
Bid,,,333.2,2760,2.7,3.3,
Bid,,,372.25,2720,2.0,1.1,
Ask,,,399.65,2720,2.1,23.9,
Bid,,,411.6,2680,1.6,0.05,
Ask,,,439.0,2680,1.9,22.65,
Bid,,,451.15,2640,1.35,0.4,0.05
Ask,,,477.5,2640,1.85,20.6,12.0
Ask,,,509.85,2600,1.6,19.9,
Bid,,,492.6,2600,1.4,2.0,
Bid,,,524.25,2560,1.15,2.25,
Ask,,,559.4,2560,1.6,19.55,
Ask,,,599.0,2520,1.6,,
Bid,,,564.1,2520,0.35,,
