ULTRACEMCO | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=ULTRACEMCO&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/ULTRACEMCO/">🎯</a>,12690.0,2403.764,18,2025-07-25,0.61,77.5,78,412 cr,6,770 cr,buy,10920.0,10047.85,2910.0,11979.75,10952.62,9549.75,1.59,2.6,2.6
Chain,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25
Bid,0.0,6.1,14400,1629.6,
Ask,79.95,9.0,14400,1763.3,
Ask,,19.95,14200,1571.7,
Bid,,3.15,14200,1424.45,
Ask,,14.75,14000,1355.9,0.0
Bid,,10.95,14000,1248.1,1175.85
Ask,,40.3,13900,1286.5,
Bid,,3.1,13900,1144.35,
Bid,,20.5,13800,1073.0,987.0
Ask,,25.95,13800,1182.25,0.0
Bid,,21.8,13700,954.15,
Ask,,57.0,13700,1109.85,
Ask,0.0,67.3,13600,1021.05,0.0
Bid,0.0,30.05,13600,854.9,776.75
Ask,0.0,45.15,13500,898.25,
Bid,0.0,42.55,13500,798.05,
Bid,0.0,54.25,13400,689.15,0.0
Ask,0.0,55.8,13400,808.7,0.0
Bid,0.0,69.4,13300,602.05,
Ask,0.0,71.85,13300,730.0,
Bid,0.0,85.55,13200,555.7,0.0
Ask,0.0,90.3,13200,642.15,0.0
Ask,0.0,113.4,13100,566.25,
Bid,0.0,108.55,13100,496.2,
Ask,0.0,141.85,13000,456.5,0.0
Bid,0.0,137.1,13000,409.7,0.0
Bid,0.0,169.85,12900,349.0,
Ask,0.0,185.45,12900,390.35,
Bid,0.0,209.35,12800,318.6,0.0
Ask,0.0,219.45,12800,329.75,0.0
Bid,0.0,254.6,12700,256.5,
Ask,0.0,258.0,12700,271.3,
Bid,0.0,302.9,12600,217.8,0.0
Ask,0.0,328.1,12600,221.85,0.0
Bid,0.0,362.9,12500,169.7,
Ask,0.0,369.5,12500,180.7,
Bid,0.0,419.25,12400,141.3,0.0
Ask,0.0,433.8,12400,146.65,0.0
Ask,,506.7,12300,117.4,
Bid,,488.8,12300,112.05,
Bid,483.0,563.55,12200,86.8,
Ask,0.0,584.05,12200,91.2,
Bid,,592.85,12100,54.5,
Ask,,731.0,12100,106.25,
Bid,680.5,719.5,12000,53.05,
Ask,0.0,796.1,12000,55.0,
Bid,,762.75,11900,28.0,
Ask,,954.85,11900,103.9,
Bid,878.0,842.75,11800,19.35,
Ask,0.0,1015.65,11800,60.0,
Bid,,942.6,11700,0.0,
Ask,,1120.25,11700,103.2,
Bid,1075.55,1052.0,11600,20.15,
Ask,0.0,1180.75,11600,26.05,
Bid,,1148.05,11500,15.6,
Ask,,1269.8,11500,17.1,
Ask,0.0,1372.95,11400,25.3,
Bid,1273.05,1236.25,11400,2.25,
Bid,,1334.95,11300,2.2,
Ask,,1470.8,11300,30.2,
Bid,1470.55,1433.1,11200,2.15,
Ask,0.0,1570.5,11200,21.65,
Bid,,1531.4,11100,5.25,
Ask,,1675.9,11100,21.5,
Ask,,1763.35,11000,11.95,
Bid,,1632.15,11000,8.0,
Bid,,1827.25,10800,2.6,
Ask,,1956.5,10800,13.95,
Ask,,2150.7,10600,9.55,
Bid,,2027.65,10600,4.85,
