Adani Enterprises Ltd, 2247.90, 1.20, 3.70, 7.40, 2,025.00
Chain,CE_10-25,CE_09-25,CE_08-25,strikePrice,PE_08-25,PE_09-25,PE_10-25
Bid,,,0.05,3000,627.6,,
Ask,,,0.3,3000,681.3,,
Ask,,,0.15,2900,618.5,,
Bid,,,0.05,2900,526.0,,
Ask,,,0.9,2880,,,
Bid,,,0.05,2880,,,
Ask,44.45,3.55,0.4,2800,476.25,466.25,
Bid,0.0,3.3,0.2,2800,469.4,453.9,
Bid,,0.0,0.6,2700,371.6,356.4,
Ask,,28.4,0.7,2700,377.65,360.0,
Bid,,0.0,1.05,2650,322.1,278.1,
Ask,,35.05,1.1,2650,328.15,382.6,
Ask,,,1.5,2640,,,
Bid,,,1.1,2640,,,
Bid,0.0,9.55,1.4,2600,275.0,265.15,
Ask,200.0,9.8,1.5,2600,277.95,268.6,
Ask,,49.5,2.15,2550,229.65,272.9,
Bid,,0.0,2.05,2550,224.15,173.55,
Ask,0.0,24.75,3.0,2500,179.25,183.55,
Bid,0.0,23.9,2.9,2500,174.85,178.8,
Ask,,68.7,4.75,2450,131.0,214.4,
Bid,,0.0,4.45,2450,127.45,0.0,
Bid,0.0,55.1,7.75,2400,80.1,111.8,
Ask,0.0,56.85,8.0,2400,83.6,114.6,
Ask,,80.1,17.0,2350,41.75,87.95,
Bid,,78.5,16.45,2350,39.7,86.1,
Bid,0.0,105.95,40.2,2300,15.25,64.25,
Ask,0.0,108.4,41.9,2300,16.3,66.1,
Bid,,0.0,80.2,2250,6.3,39.95,
Ask,,194.8,82.9,2250,7.0,61.95,
Bid,,176.0,127.3,2200,4.5,35.1,0.0
Ask,,179.3,130.7,2200,4.7,37.0,98.85
Ask,,260.7,182.05,2150,3.05,39.45,
Bid,,159.85,175.35,2150,2.9,16.5,
Bid,,257.25,223.25,2100,2.1,20.3,
Ask,,263.25,232.95,2100,2.25,21.15,
Bid,,254.8,261.0,2050,1.2,9.05,
Ask,,342.65,307.95,2050,1.25,26.35,
Bid,,323.05,322.85,2000,0.8,11.3,0.0
Ask,,361.85,327.0,2000,0.85,12.45,0.0
Ask,,430.65,428.0,1950,0.55,9.0,
Bid,,355.25,333.85,1950,0.45,5.55,
Bid,,405.2,387.15,1900,0.4,5.0,
Ask,,478.2,480.6,1900,0.55,7.7,
Ask,,578.6,588.5,1800,0.5,4.0,29.1
Bid,,429.3,479.55,1800,0.25,3.5,2.35

