ADANIPORTS | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=ADANIPORTS&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/ADANIPORTS/">🎯</a>,1320.9,288.263,26,2025-06-13,0.53,7.0,32,645 cr,11,294 cr,strong_buy,1331.6,995.65,395.1,1231.4,1110.47,1009.75,1.54,4.8,4.8
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,0.55,0.45,1600,274.85,,
Ask,,0.0,0.55,1600,285.1,,
Ask,,,0.9,1560,247.3,,
Bid,,,0.6,1560,211.15,,
Ask,,,1.15,1520,207.85,,
Bid,,,1.0,1520,178.45,,
Ask,,,1.4,1500,181.35,,
Bid,,,1.3,1500,178.2,,
Bid,,0.0,1.75,1480,142.15,,
Ask,,0.0,1.9,1480,168.85,,
Bid,,,2.5,1460,139.5,,
Ask,,,2.6,1460,141.65,,
Ask,,0.0,3.6,1440,122.6,,
Bid,,0.0,3.5,1440,121.2,,
Bid,,0.0,0.0,1420,84.55,,
Ask,,0.0,9.4,1420,116.4,,
Ask,,44.95,7.65,1400,87.4,0.0,
Bid,,0.0,7.35,1400,78.9,0.0,
Ask,,0.0,11.3,1380,70.75,,
Bid,,0.0,11.0,1380,64.95,,
Ask,89.0,0.0,16.6,1360,55.9,,
Bid,0.0,0.0,16.15,1360,54.55,,
Bid,,0.0,23.5,1340,42.4,,
Ask,,0.0,23.75,1340,43.2,,
Ask,,0.0,33.15,1320,32.45,,
Bid,,0.0,32.35,1320,31.9,,
Bid,,0.0,43.35,1300,23.05,0.0,
Ask,,0.0,44.35,1300,23.65,0.0,
Bid,,,56.55,1280,16.55,0.0,0.0
Ask,,,58.05,1280,17.0,0.0,100.0
Bid,,,71.7,1260,9.65,,
Ask,,,72.95,1260,18.85,,
Ask,,,106.45,1240,8.75,0.0,
Bid,,,78.45,1240,8.45,0.0,
Bid,,,95.65,1220,5.05,,
Ask,,,126.0,1220,6.2,,
Bid,,,121.35,1200,4.35,0.0,
Ask,,,138.15,1200,4.4,0.0,
Bid,,,135.7,1180,3.1,,
Ask,,,161.2,1180,3.3,,
Ask,,,183.8,1160,2.4,0.0,
Bid,,,151.25,1160,2.2,0.0,
Bid,,,189.9,1120,1.3,1.5,
Ask,,,230.7,1120,1.5,12.95,
Ask,,,,1040,,0.0,0.0
Bid,,,,1040,,0.3,0.05
