APOLLOHOSP | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=APOLLOHOSP&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/APOLLOHOSP/">🎯</a>,7659.0,571.153,82,2025-08-19,0.13,10.0,22,550 cr,1,573 cr,buy,6001.0,6001.0,910.1,7337.81,6556.6,5671.37,1.41,4.45,4.45
Chain,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25
Bid,,2.6,8900,1185.0,
Ask,,3.85,8900,1266.45,
Ask,,3.15,8800,1177.9,
Bid,,2.4,8800,1085.0,
Ask,,4.3,8700,1071.4,
Bid,,3.15,8700,981.75,
Ask,,14.2,8650,1031.75,
Bid,,2.55,8650,931.4,
Bid,,4.7,8600,888.3,
Ask,,5.6,8600,970.65,
Bid,,2.25,8550,841.1,
Ask,,10.3,8550,921.35,
Ask,0.0,7.9,8500,873.95,1035.75
Bid,0.0,6.5,8500,791.15,755.8
Ask,,17.95,8450,833.45,
Bid,,5.0,8450,735.9,
Bid,0.0,5.0,8400,686.25,657.05
Ask,235.9,23.7,8400,800.1,937.0
Bid,,4.0,8350,643.35,
Ask,,30.1,8350,746.25,
Bid,0.0,11.05,8300,591.7,558.3
Ask,234.8,34.45,8300,704.1,838.25
Bid,,8.25,8250,548.0,
Ask,,39.25,8250,653.65,
Bid,0.0,19.8,8200,498.75,468.6
Ask,207.55,20.4,8200,592.4,739.35
Bid,,23.45,8150,453.25,
Ask,,28.75,8150,545.85,
Ask,321.65,32.0,8100,0.0,0.0
Bid,0.0,29.35,8100,396.2,360.8
Bid,,0.0,8050,366.9,
Ask,,64.55,8050,490.3,
Bid,0.0,43.1,8000,372.65,0.0
Ask,300.0,43.8,8000,389.35,638.45
Ask,,61.3,7950,372.1,
Bid,,50.8,7950,325.7,
Ask,0.0,70.0,7900,314.15,0.0
Bid,0.0,60.7,7900,292.25,0.0
Ask,0.0,82.5,7850,275.85,
Bid,0.0,73.0,7850,253.4,
Bid,0.0,90.7,7800,230.0,0.0
Ask,486.75,92.0,7800,232.0,0.0
Ask,,112.0,7750,200.65,
Bid,,106.5,7750,173.7,
Ask,489.9,130.0,7700,174.9,0.0
Bid,0.0,127.5,7700,148.55,220.7
Bid,,150.3,7650,128.0,
Ask,,170.0,7650,144.0,
Bid,0.0,178.35,7600,120.0,179.3
Ask,501.55,181.0,7600,121.8,0.0
Bid,0.0,182.45,7550,96.8,0.0
Ask,0.0,258.05,7550,127.6,231.2
Ask,477.85,249.95,7500,85.2,262.85
Bid,0.0,235.8,7500,84.0,129.25
Bid,,245.85,7450,69.75,0.0
Ask,,320.9,7450,96.25,193.25
Bid,0.0,273.8,7400,0.0,0.0
Ask,468.3,363.4,7400,85.1,150.0
Bid,,307.8,7350,0.0,
Ask,,415.95,7350,75.15,
Bid,0.0,383.45,7300,38.25,62.55
Ask,526.9,407.1,7300,39.6,110.0
Ask,,512.35,7250,57.25,
Bid,,394.1,7250,0.0,
Ask,670.05,528.7,7200,26.5,145.85
Bid,465.45,454.05,7200,22.35,0.0
Ask,,585.55,7150,43.15,
Bid,,497.8,7150,10.1,
Ask,768.8,612.1,7100,19.15,145.85
Bid,564.2,545.55,7100,14.8,0.0
Ask,,676.25,7050,34.5,
Bid,,589.85,7050,10.1,
Bid,,644.55,7000,12.75,
Ask,,688.0,7000,13.5,
Ask,,754.6,6950,17.8,
Bid,,680.8,6950,5.25,
Bid,,735.3,6900,8.25,
Ask,,801.2,6900,9.5,
Bid,,782.7,6850,1.85,
Ask,,866.1,6850,14.2,
Bid,,828.15,6800,6.3,
Ask,,899.75,6800,7.9,
Bid,,880.95,6750,5.0,
Ask,,960.5,6750,9.1,
Bid,,929.95,6700,5.2,6.0
Ask,,997.25,6700,5.3,35.0
Bid,,973.15,6650,4.0,
Ask,,1047.95,6650,7.95,
Bid,,1028.75,6600,4.0,
Ask,,1095.6,6600,4.95,
Ask,,1155.1,6550,6.3,
Bid,,1079.35,6550,3.0,
Bid,,1126.85,6500,3.5,
Ask,,1194.1,6500,3.75,
Bid,,1223.4,6400,2.1,
Ask,,1303.45,6400,5.3,
Bid,,1318.25,6300,2.0,
Ask,,1393.1,6300,4.9,
Ask,,1568.85,6200,3.95,
Bid,,1365.4,6200,2.0,
Bid,,1464.95,6100,0.35,
Ask,,1873.95,6100,6.9,
Ask,,,6000,,0.0
Bid,,,6000,,1.2
