BAJFINANCE | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=BAJFINANCE&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/BAJFINANCE/">🎯</a>,885.0,155.752,9,2025-05-30,0.5,4.4,38,775 cr,17,425 cr,buy,886.0,618.78,0.44,835.63,803.51,619.02,1.57,4.89,4.89
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,0.1,2200,,,
Ask,,,0.4,2200,,,
Ask,,,0.3,2000,,,
Bid,,,0.2,2000,,,
Ask,,0.0,0.4,1800,,,
Bid,,0.0,0.2,1800,,,
Ask,,,0.6,1700,,,
Bid,,,0.15,1700,,,
Bid,,0.0,0.15,1600,,,
Ask,,0.0,0.9,1600,,,
Bid,,,0.15,1500,0.0,,
Ask,,,0.9,1500,0.0,,
Ask,,0.0,0.65,1400,0.0,,
Bid,,0.0,0.1,1400,0.0,,
Ask,,,0.8,1300,0.0,,
Bid,,,0.15,1300,385.6,,
Bid,,0.5,0.2,1200,282.7,,
Ask,,3.5,0.3,1200,352.15,,
Bid,,,0.3,1100,211.85,,
Ask,,,0.5,1100,219.8,,
Bid,,1.35,0.5,1040,150.35,,
Ask,,3.5,0.6,1040,159.7,,
Bid,,,0.3,1030,142.65,,
Ask,,,5.65,1030,154.15,,
Bid,,2.6,0.6,1020,130.75,130.65,
Ask,,5.9,0.7,1020,139.95,140.45,
Bid,,,0.8,1010,122.95,,
Ask,,,0.95,1010,130.0,,
Ask,16.9,5.45,1.2,1000,116.9,121.3,
Bid,8.4,5.15,1.1,1000,115.15,114.1,
Bid,,,1.15,990,103.5,,
Ask,,,1.45,990,111.45,,
Ask,0.0,13.8,1.85,980,97.9,107.95,
Bid,5.05,2.55,1.75,980,96.75,91.5,
Ask,,0.0,2.4,970,92.4,,
Bid,,0.05,2.2,970,82.4,,
Ask,,10.4,3.1,960,79.05,86.05,
Bid,,9.5,3.0,960,78.2,78.2,
Bid,,11.35,3.95,950,68.0,,
Ask,,14.4,4.05,950,72.15,,
Bid,,11.8,5.1,940,59.2,60.8,
Ask,,17.15,5.35,940,61.25,71.15,
Ask,,20.55,7.0,930,53.1,,
Bid,,16.0,6.7,930,52.5,,
Ask,,20.8,9.25,920,45.2,54.35,
Bid,,20.1,9.05,920,44.7,50.1,
Ask,,25.2,12.05,910,38.15,47.8,
Bid,,22.0,11.85,910,37.55,43.65,
Ask,,28.4,15.5,900,31.65,41.65,
Bid,,27.6,15.3,900,30.9,38.75,
Bid,,31.95,19.35,890,25.45,32.5,
Ask,,34.65,19.5,890,25.8,36.05,
Bid,,35.1,24.2,880,20.35,27.7,
Ask,,38.0,24.3,880,20.6,30.95,
Bid,,36.7,29.7,870,15.95,23.6,
Ask,,44.5,30.1,870,16.15,26.3,
Ask,,50.15,36.5,860,12.5,24.95,
Bid,,46.4,35.85,860,12.3,20.25,
Ask,,,43.25,850,9.5,18.6,
Bid,,,43.0,850,9.35,16.55,
Bid,,56.75,50.45,840,6.95,13.65,0.0
Ask,,65.6,51.05,840,7.15,15.55,0.0
Ask,,,59.1,830,5.25,12.75,
Bid,,,58.3,830,5.1,11.1,
Bid,,71.25,65.75,820,3.65,9.25,6.05
Ask,,81.85,68.95,820,3.8,9.75,0.0
Ask,,,77.4,810,2.85,0.0,
Bid,,,75.75,810,2.75,3.3,
Bid,,88.75,84.9,800,2.0,6.1,9.35
Ask,,94.95,86.15,800,2.15,6.55,10.9
Bid,,,90.3,790,1.4,2.65,
Ask,,,97.7,790,1.55,6.65,
Bid,,105.35,99.9,780,1.05,2.5,2.0
Ask,,112.65,109.8,780,1.2,4.1,7.9
Bid,,,109.5,770,0.85,,
Ask,,,119.05,770,1.05,,
Bid,,124.65,118.6,760,0.65,2.05,2.0
Ask,,136.1,129.05,760,0.7,7.8,5.9
Bid,,143.3,138.9,740,0.5,0.5,
Ask,,152.6,148.8,740,0.55,5.0,
Bid,,,158.85,720,0.05,0.4,
Ask,,,166.5,720,1.3,4.0,
Ask,,,188.35,700,0.6,,
Bid,,,179.0,700,0.3,,
Bid,,,276.8,600,0.1,0.0,
Ask,,,286.6,600,0.4,1.25,
Bid,,,344.4,500,0.05,,
Ask,,,0.0,500,0.6,,
Bid,,,458.15,400,0.05,0.05,
Ask,,,0.0,400,0.6,0.0,
Ask,,,,300,0.45,,
Bid,,,,300,0.1,,
Bid,,,,200,0.1,0.05,
Ask,,,,200,0.4,0.0,
Ask,,,0.0,100,0.9,,
Bid,,,0.0,100,0.1,,
