GRASIM | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=GRASIM&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/GRASIM/">🎯</a>,2786.3,1437.097,45,2025-08-12,0.36,10.0,153,986 cr,4,049 cr,none,2511.0,2276.95,383.53,2652.45,2447.18,2072.63,1.73,3.63,3.63
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,0.1,0.65,3280,475.8,,
Ask,,0.0,1.95,3280,504.15,,
Ask,,,1.95,3240,462.45,,
Bid,,,1.0,3240,434.9,,
Ask,,0.0,1.8,3200,422.85,,
Bid,,0.05,0.9,3200,401.25,,
Ask,,,3.5,3160,384.8,,
Bid,,,1.6,3160,357.7,,
Bid,,,1.7,3120,318.05,,
Ask,,,3.45,3120,344.35,,
Bid,,,2.0,3100,302.5,,
Ask,,,2.5,3100,324.75,,
Ask,,,10.6,3080,310.5,0.0,
Bid,,,2.65,3080,278.45,265.3,
Ask,,,4.75,3060,286.9,,
Bid,,,2.7,3060,258.55,,
Bid,,,4.2,3040,240.0,221.35,
Ask,,,4.85,3040,265.6,0.0,
Bid,,,3.3,3020,219.5,,
Ask,,,12.8,3020,258.8,,
Bid,,,6.6,3000,202.65,183.25,
Ask,,,7.1,3000,231.75,0.0,
Bid,,,2.55,2980,181.5,,
Ask,,,11.3,2980,216.75,,
Bid,,0.0,9.6,2960,163.3,144.4,
Ask,,0.0,13.95,2960,195.75,0.0,
Ask,,,17.05,2940,178.3,,
Bid,,,11.65,2940,149.45,,
Bid,,0.0,0.0,2920,126.3,0.0,
Ask,,0.0,23.5,2920,177.4,0.0,
Bid,,0.0,17.95,2900,123.85,,
Ask,,0.0,21.8,2900,142.2,,
Ask,,0.0,32.3,2880,133.7,0.0,
Bid,,0.0,15.0,2880,100.65,0.0,
Ask,,0.0,34.5,2860,115.1,,
Bid,,0.0,29.0,2860,96.1,,
Bid,,0.0,35.25,2840,82.9,0.0,
Ask,,0.0,40.0,2840,101.05,0.0,
Bid,,0.0,42.05,2820,72.9,,
Ask,,0.0,54.05,2820,78.85,,
Bid,,0.0,51.2,2800,59.2,73.3,
Ask,,0.0,54.0,2800,66.65,0.0,
Bid,,0.0,57.2,2780,47.45,,
Ask,,0.0,63.3,2780,56.25,,
Ask,,0.0,83.0,2760,50.5,0.0,
Bid,,0.0,61.9,2760,41.55,0.0,
Bid,,,73.4,2740,35.9,,
Ask,,,95.55,2740,41.55,,
Bid,,0.0,82.95,2720,17.9,0.0,
Ask,,0.0,106.9,2720,33.35,0.0,
Ask,,,114.9,2700,27.75,,
Bid,,,111.0,2700,23.3,,
Ask,,0.0,142.1,2680,31.35,0.0,
Bid,,0.0,115.35,2680,19.15,0.0,
Ask,,,161.55,2660,21.9,,
Bid,,,133.65,2660,15.45,,
Bid,,142.6,148.15,2640,11.95,0.0,
Ask,,0.0,179.85,2640,15.95,0.0,
Bid,,,163.85,2620,8.9,,
Ask,,,194.5,2620,16.65,,
Bid,,182.1,185.8,2600,9.5,0.0,0.0
Ask,,0.0,211.5,2600,10.15,0.0,54.0
Bid,,,199.7,2580,2.1,,
Ask,,,229.9,2580,10.9,,
Bid,,221.6,220.45,2560,4.15,,
Ask,,0.0,247.75,2560,9.35,,
Bid,,,238.2,2540,2.3,,
Ask,,,267.2,2540,10.5,,
Bid,,261.1,258.5,2520,3.2,,
Ask,,0.0,294.35,2520,8.9,,
Bid,,,279.15,2500,3.65,,
Ask,,,305.1,2500,4.3,,
Ask,,,325.7,2480,6.95,0.0,
Bid,,,295.3,2480,0.8,0.05,
Bid,,,316.55,2460,0.6,,
Ask,,,343.95,2460,4.95,,
Bid,,,335.55,2440,0.5,0.05,
Ask,,,363.35,2440,4.5,0.0,
Bid,,,373.75,2400,1.2,0.05,0.05
Ask,,,398.2,2400,2.95,0.0,0.0
Ask,,,442.25,2360,3.95,,
Bid,,,415.35,2360,0.4,,
Bid,,,453.85,2320,0.35,0.05,
Ask,,,481.9,2320,3.5,0.0,
Ask,,,520.65,2280,2.9,,
Bid,,,493.25,2280,0.65,,
