HCLTECH | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=HCLTECH&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/HCLTECH/">🎯</a>,1460.1,3.01,14,2025-07-18,0.82,12.0,1,402 cr,199 cr,hold,1302.75,1235.0,375.25,1360.16,1248.67,1330.13,1.63,4.39,4.39
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,0.15,1920,,,
Ask,,,1.6,1920,,,
Ask,,5.85,1.0,1760,303.15,,
Bid,,0.6,0.25,1760,288.75,,
Ask,,,1.0,1720,263.65,,
Bid,,,0.3,1720,249.05,,
Ask,,6.2,1.35,1680,219.05,230.9,
Bid,,5.2,0.85,1680,215.25,219.9,
Bid,,,1.05,1660,191.35,,
Ask,,,1.7,1660,204.65,,
Bid,,5.65,1.85,1640,177.35,181.35,
Ask,,19.85,1.95,1640,179.05,204.9,
Ask,,,2.7,1620,165.65,,
Bid,,,2.55,1620,154.0,,
Ask,0.0,14.8,3.7,1600,141.15,161.9,
Bid,0.0,13.95,3.65,1600,133.9,150.0,
Ask,,,5.2,1580,123.0,,
Bid,,,5.1,1580,118.45,,
Bid,,0.0,7.15,1560,102.2,108.85,
Ask,,50.2,7.3,1560,105.3,156.5,
Ask,,,10.5,1540,88.3,,
Bid,,,10.3,1540,84.6,,
Bid,,0.0,14.55,1520,71.35,69.0,
Ask,,50.9,14.85,1520,72.4,117.8,
Ask,,45.8,20.65,1500,58.2,,
Bid,,32.0,20.3,1500,57.4,,
Ask,,79.65,27.95,1480,45.75,105.25,
Bid,,0.0,27.65,1480,45.1,49.75,
Bid,,0.0,36.9,1460,34.5,0.0,
Ask,,0.0,37.35,1460,35.0,63.0,
Ask,,73.0,48.45,1440,26.15,49.8,
Bid,,50.5,47.9,1440,25.7,47.0,
Ask,,,61.45,1420,19.1,0.0,
Bid,,,60.75,1420,18.65,27.5,
Ask,,94.95,77.95,1400,13.65,33.65,0.0
Bid,,82.45,74.65,1400,13.4,31.0,0.0
Ask,,,91.9,1380,9.7,34.8,
Bid,,,91.0,1380,9.45,16.15,
Bid,,102.95,103.45,1360,6.55,12.0,
Ask,,139.7,111.7,1360,6.75,38.35,
Ask,,,134.35,1340,4.75,,
Bid,,,119.0,1340,4.55,,
Bid,,134.15,137.4,1320,3.2,2.0,
Ask,,174.3,151.25,1320,3.4,38.5,
Bid,,,162.65,1300,2.3,,
Ask,,,167.2,1300,2.5,,
Bid,,168.9,176.35,1280,1.45,,
Ask,,215.5,191.3,1280,1.65,,
Ask,,,209.75,1260,1.95,,
Bid,,,195.1,1260,0.95,,
Bid,,208.4,214.8,1240,1.0,,
Ask,,255.0,229.35,1240,1.75,,
Ask,,294.5,268.0,1200,1.15,,
Bid,,247.9,254.1,1200,1.05,,
