KOTAKBANK | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=KOTAKBANK&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/KOTAKBANK/">🎯</a>,1966.3,792.111,16,2025-07-18,0.13,2.5,75,072 cr,19,150 cr,buy,2033.8,1543.85,1001.0,1861.4,1885.2,1600.24,1.24,3.97,3.97
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,,0.25,2360,375.4,,
Ask,,,1.25,2360,391.1,,
Ask,,7.0,1.0,2320,352.4,,
Bid,,0.5,0.75,2320,336.0,,
Ask,,0.0,1.0,2280,312.8,,
Bid,,1.5,0.85,2280,296.35,,
Ask,,4.6,1.4,2240,273.55,266.5,
Bid,,3.8,1.35,2240,256.8,251.15,
Bid,,,1.05,2220,237.05,,
Ask,,,1.55,2220,252.5,,
Bid,,4.3,1.3,2200,222.15,213.15,
Ask,,12.0,1.45,2200,227.75,228.0,
Ask,,,2.15,2180,213.3,,
Bid,,,1.4,2180,197.7,,
Ask,,25.0,2.25,2160,186.85,205.0,
Bid,,0.0,2.05,2160,184.65,171.65,
Bid,,,2.6,2140,165.05,,
Ask,,,2.9,2140,174.6,,
Bid,,0.0,3.6,2120,146.95,132.15,
Ask,,29.55,3.75,2120,154.35,173.35,
Ask,,21.65,5.2,2100,130.15,,
Bid,,0.0,5.05,2100,128.4,,
Ask,,37.15,7.15,2080,112.1,141.85,
Bid,,0.0,6.9,2080,110.5,92.55,
Ask,,,9.95,2060,95.05,,
Bid,,,9.75,2060,93.4,,
Ask,,47.6,13.8,2040,84.95,111.4,
Bid,,0.0,13.15,2040,77.55,0.0,
Ask,,,19.1,2020,69.4,,
Bid,,,18.6,2020,63.3,,
Bid,0.0,47.15,25.4,2000,50.4,52.25,
Ask,150.0,55.65,25.85,2000,51.95,79.95,
Bid,,0.0,32.85,1980,38.95,,
Ask,,0.0,34.5,1980,40.9,,
Bid,,56.45,44.5,1960,29.9,0.0,
Ask,,97.1,45.2,1960,30.6,79.5,
Bid,,,56.8,1940,22.2,,
Ask,,,57.85,1940,23.8,,
Bid,,0.0,70.5,1920,16.65,24.85,0.0
Ask,,0.0,71.75,1920,17.0,83.8,80.0
Bid,,,85.75,1900,12.0,0.0,
Ask,,,88.1,1900,12.3,0.0,
Ask,,188.4,103.75,1880,9.0,0.0,
Bid,,98.6,96.65,1880,8.75,0.0,
Ask,,,122.7,1860,6.5,,
Bid,,,113.3,1860,6.35,,
Ask,,0.0,140.25,1840,4.8,0.0,
Bid,,137.95,132.15,1840,4.65,6.0,
Bid,,,153.65,1820,3.4,4.5,
Ask,,,164.7,1820,3.55,0.0,
Ask,,0.0,183.2,1800,2.8,0.0,
Bid,,172.3,172.5,1800,2.6,3.2,
Bid,,,186.5,1780,1.9,,
Ask,,,203.7,1780,2.2,,
Bid,,211.8,206.9,1760,1.3,0.05,
Ask,,311.15,223.15,1760,1.45,0.0,
Bid,,,225.7,1740,0.9,0.05,
Ask,,,242.7,1740,1.8,0.0,
Ask,,0.0,262.3,1720,1.0,0.0,
Bid,,252.35,246.2,1720,0.75,0.05,
Bid,,291.85,285.8,1680,0.35,0.05,0.05
Ask,,390.15,301.85,1680,1.15,0.0,0.0
Ask,,,341.35,1640,1.4,0.0,
Bid,,,323.65,1640,0.15,0.05,
