M&M | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=M&M&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/M&M/">🎯</a>,3228.5,690.119,15,2025-07-04,0.78,25.3,169,685 cr,13,729 cr,strong_buy,2932.0,1123.4,245.4,3119.41,2709.35,2344.06,1.8,4.93,4.93
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,8.0,1.7,3900,659.35,654.25,
Ask,,8.9,1.75,3900,693.5,681.55,
Ask,,,3.4,3850,644.9,,
Bid,,,1.95,3850,610.5,,
Ask,,13.8,3.15,3800,594.25,585.0,
Bid,,6.1,2.85,3800,564.0,556.7,
Ask,,,4.85,3750,545.95,,
Bid,,,3.7,3750,513.25,,
Bid,,10.55,4.9,3700,463.25,457.95,
Ask,,41.55,5.7,3700,489.05,513.3,
Bid,,,6.7,3650,418.0,,
Ask,,,7.1,3650,449.7,,
Ask,,28.7,9.45,3600,389.55,402.35,
Bid,,26.2,8.95,3600,385.6,376.1,
Ask,,0.0,13.05,3550,343.05,,
Bid,,0.0,12.35,3550,325.75,,
Ask,,57.95,17.5,3500,297.9,334.35,
Bid,,30.0,17.05,3500,295.1,282.3,
Bid,,0.0,23.4,3450,247.35,,
Ask,,72.05,24.05,3450,254.85,,
Ask,0.0,70.0,33.0,3400,215.75,267.7,
Bid,63.0,65.3,32.65,3400,208.1,218.95,
Ask,,108.5,45.5,3350,176.45,238.95,
Bid,,81.65,44.55,3350,171.2,165.8,
Ask,,105.3,61.65,3300,142.6,176.3,
Bid,,100.4,60.2,3300,139.65,158.4,
Ask,,131.3,81.0,3250,112.5,166.8,
Bid,,119.35,79.9,3250,111.1,117.45,
Bid,,146.3,103.55,3200,85.25,111.4,0.0
Ask,,152.8,105.3,3200,86.65,117.85,0.0
Ask,,204.3,133.9,3150,65.35,115.9,
Bid,,145.5,131.95,3150,64.15,88.7,
Ask,,222.25,166.55,3100,47.85,79.2,0.0
Bid,,186.05,164.2,3100,45.1,72.55,0.0
Bid,,,198.85,3050,33.95,57.75,
Ask,,,208.55,3050,34.8,81.3,
Ask,,290.15,250.05,3000,24.75,52.4,
Bid,,239.05,239.9,3000,21.5,32.0,
Bid,,,271.05,2950,16.95,,
Ask,,,289.95,2950,17.45,,
Bid,,330.65,326.2,2900,11.5,19.15,
Ask,,387.8,332.05,2900,12.25,41.45,
Bid,,,362.35,2850,6.85,,
Ask,,,385.2,2850,8.55,,
Ask,,456.85,433.3,2800,6.0,16.0,
Bid,,428.95,419.3,2800,5.5,15.0,
Bid,,,503.4,2700,3.0,,
Ask,,,536.8,2700,3.15,,
Ask,,,633.3,2600,2.35,,
Bid,,,602.65,2600,2.3,,
