MARUTI | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=MARUTI&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/MARUTI/">🎯</a>,14734.0,3061.094,13,2025-08-01,0.92,135.0,155,738 cr,14,532 cr,buy,11059.45,10725.0,4001.1,13338.08,11485.07,9764.59,1.4,3.39,3.39
Chain,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25
Bid,0.0,,16800,,
Ask,195.0,,16800,,
Ask,199.95,20.45,16600,1809.4,
Bid,0.0,19.4,16600,1693.4,
Ask,305.85,27.0,16400,1617.2,
Bid,0.0,25.5,16400,1483.45,
Ask,224.95,36.0,16200,1437.5,1551.9
Bid,0.0,34.0,16200,1304.05,1212.0
Bid,110.0,49.3,16000,1121.6,1134.1
Ask,169.55,51.05,16000,1258.1,1281.45
Bid,,53.75,15900,1020.25,
Ask,,64.9,15900,1154.95,
Ask,504.95,77.95,15800,1065.25,1323.8
Bid,0.0,60.05,15800,938.7,925.25
Ask,,95.0,15700,983.15,
Bid,,67.95,15700,863.4,
Bid,0.0,92.0,15600,780.2,719.55
Ask,591.65,100.15,15600,882.85,1329.7
Bid,0.0,114.2,15500,700.1,
Ask,638.1,118.0,15500,816.25,
Bid,0.0,132.4,15400,655.65,0.0
Ask,687.3,143.45,15400,736.1,0.0
Bid,0.0,161.55,15300,595.3,
Ask,0.0,168.0,15300,664.9,
Bid,0.0,191.0,15200,500.7,0.0
Ask,0.0,199.95,15200,571.25,0.0
Bid,0.0,224.7,15100,442.1,
Ask,0.0,231.0,15100,502.3,
Ask,504.1,272.0,15000,435.0,980.75
Bid,0.0,270.0,15000,421.05,0.0
Ask,0.0,316.0,14900,383.0,
Bid,322.0,310.7,14900,370.2,
Ask,909.6,368.0,14800,335.0,871.3
Bid,0.0,364.0,14800,326.0,324.0
Ask,,425.0,14700,288.6,
Bid,,420.0,14700,285.0,
Ask,837.5,494.45,14600,255.95,576.4
Bid,430.8,467.05,14600,242.9,254.3
Ask,0.0,559.95,14500,217.0,0.0
Bid,0.0,540.2,14500,213.0,0.0
Bid,609.05,585.3,14400,180.1,0.0
Ask,1243.35,682.65,14400,189.0,0.0
Bid,,680.05,14300,155.1,
Ask,,698.0,14300,160.1,
Ask,1441.85,789.3,14200,144.0,0.0
Bid,812.55,751.05,14200,135.6,148.55
Ask,,861.1,14100,120.0,0.0
Bid,,817.4,14100,115.0,129.1
Bid,1010.1,916.55,14000,98.15,165.0
Ask,0.0,939.0,14000,101.0,0.0
Bid,,988.0,13900,82.0,
Ask,,1108.25,13900,85.75,
Ask,0.0,1151.2,13800,87.0,0.0
Bid,1052.1,1079.3,13800,70.3,83.0
Bid,,1154.8,13700,59.65,
Ask,,1292.05,13700,75.75,
Ask,0.0,1374.2,13600,53.85,0.0
Bid,1240.15,1240.9,13600,50.05,0.0
Bid,,1349.0,13500,42.0,
Ask,,1463.4,13500,43.6,
Bid,1437.65,1426.25,13400,36.05,
Ask,0.0,1568.75,13400,43.0,
Bid,,1522.65,13300,31.0,
Ask,,1642.95,13300,36.0,
Ask,,1742.05,13200,32.25,
Bid,,1617.6,13200,26.0,
Ask,,1856.35,13100,37.75,
Bid,,1705.05,13100,24.0,
Ask,,1884.65,13000,22.0,125.0
Bid,,1806.5,13000,21.15,46.05
Ask,,2042.65,12900,29.9,
Bid,,1895.6,12900,6.55,
Ask,,2121.85,12800,19.0,
Bid,,1999.1,12800,13.9,
Ask,,2245.35,12700,24.5,
Bid,,2085.15,12700,12.1,
Bid,,2189.7,12600,11.3,5.6
Ask,,2342.85,12600,30.05,0.0
Ask,,2433.05,12500,11.5,
Bid,,2274.45,12500,11.0,
Ask,,2531.25,12400,14.1,
Bid,,2376.45,12400,6.0,
Bid,,2482.5,12300,2.45,
Ask,,2631.1,12300,0.0,
Ask,,2734.85,12200,18.1,0.0
Bid,,2573.5,12200,2.35,0.05
Bid,,2679.5,12100,2.5,
Ask,,2834.8,12100,21.8,
Bid,,2797.65,12000,7.3,0.05
Ask,,2899.2,12000,9.7,0.0
Bid,,2871.45,11900,2.35,
Ask,,3032.1,11900,19.95,
Bid,,2830.3,11800,2.25,0.05
Ask,,3515.25,11800,20.7,0.0
Bid,,2929.2,11700,2.25,
Ask,,3615.3,11700,0.0,
Bid,,3022.75,11600,1.85,0.05
Ask,,3713.05,11600,12.0,0.0
Bid,,3116.35,11500,4.25,
Ask,,3816.05,11500,9.0,
Ask,,3916.75,11400,5.8,0.0
Bid,,3209.95,11400,4.25,0.05
Bid,,3303.5,11300,3.55,
Ask,,3734.05,11300,0.0,
Bid,,3397.1,11200,3.25,0.05
Ask,,3841.55,11200,0.0,0.0
Bid,,3490.75,11100,2.0,
Ask,,3956.5,11100,20.0,
Ask,,4050.8,11000,8.9,
Bid,,3584.35,11000,3.5,
Bid,,3771.55,10800,2.0,0.05
Ask,,4267.35,10800,20.0,0.0
Ask,,4479.35,10600,5.0,
Bid,,3958.7,10600,4.65,
