ONGC | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=ONGC&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/ONGC/">🎯</a>,232.67,272.999,25,2025-09-04,0.54,1.25,657,205 cr,36,055 cr,buy,205.0,119.85,50.0,223.86,196.11,185.36,1.07,3.13,3.13
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,0.1,0.15,0.1,280,46.55,44.25,
Ask,0.0,2.25,0.15,280,47.1,48.3,
Ask,,2.25,0.15,270,37.15,38.8,
Bid,,0.3,0.1,270,36.35,34.55,
Ask,,,0.3,265,33.15,,
Bid,,,0.15,265,30.35,,
Ask,0.0,1.3,0.3,260,27.35,28.25,
Bid,1.0,1.0,0.2,260,27.15,25.7,
Ask,,0.0,0.45,255,22.55,,
Bid,,0.55,0.4,255,22.3,,
Ask,0.0,2.95,0.8,250,17.9,19.55,0.0
Bid,2.0,2.3,0.75,250,17.65,17.7,5.1
Bid,,0.25,1.3,245,13.35,0.05,
Ask,,0.0,1.35,245,13.5,0.0,
Ask,0.0,5.1,2.4,240,9.55,12.2,18.0
Bid,3.0,4.9,2.35,240,9.4,8.85,9.0
Bid,,0.25,4.05,235,6.15,0.05,
Ask,,0.0,4.15,235,6.25,0.0,
Bid,0.05,8.4,6.6,230,3.75,5.25,2.1
Ask,0.0,10.6,6.7,230,3.85,7.65,0.0
Bid,,0.05,9.9,225,2.15,2.7,
Ask,,0.0,10.1,225,2.2,0.0,
Bid,,15.25,13.9,220,1.2,2.0,0.05
Ask,,19.15,14.1,220,1.25,4.05,0.0
Bid,,,18.35,215,0.65,0.0,
Ask,,,18.6,215,0.7,0.0,
Ask,,30.65,23.3,210,0.45,5.2,
Bid,,23.5,23.0,210,0.4,0.3,
Bid,,33.0,31.85,200,0.15,0.05,
Ask,,35.75,34.3,200,0.2,1.0,
Ask,,46.35,44.2,190,0.15,1.95,
Bid,,42.15,41.9,190,0.1,0.0,
