SBIN | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=SBIN&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/SBIN/">🎯</a>,804.05,583.192,6,2025-05-16,1.98,15.9,350,384 cr,79,437 cr,strong_buy,680.0,680.0,149.45,783.21,710.56,636.77,0.91,2.88,2.88
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,0.35,0.1,960,149.0,146.3,
Ask,,1.95,0.3,960,155.85,153.25,
Ask,,,0.2,940,136.1,,
Bid,,,0.15,940,129.4,,
Ask,4.55,3.0,0.3,920,115.95,114.4,
Bid,2.45,0.95,0.25,920,111.8,107.8,
Ask,,,0.4,910,106.5,,
Bid,,,0.3,910,99.85,,
Bid,,2.2,0.5,900,93.55,88.9,
Ask,,2.25,0.55,900,94.7,94.55,
Bid,,,0.55,890,83.4,,
Ask,,,0.6,890,86.75,,
Ask,0.0,8.55,0.8,880,75.3,78.3,
Bid,2.0,2.15,0.75,880,74.05,69.1,
Ask,,13.55,1.05,870,65.05,,
Bid,,2.15,0.95,870,64.45,,
Ask,29.85,5.6,1.5,860,55.55,58.5,
Bid,9.0,5.35,1.45,860,55.15,52.95,
Bid,,5.1,2.2,850,45.75,,
Ask,,8.6,2.25,850,46.3,,
Ask,19.15,9.95,3.5,840,37.6,39.8,
Bid,15.2,9.6,3.4,840,37.1,38.0,
Ask,,13.15,5.45,830,29.65,35.8,
Bid,,12.6,5.35,830,29.3,29.45,
Ask,39.0,16.8,8.4,820,22.65,27.1,0.0
Bid,22.0,16.35,8.3,820,22.45,25.95,26.5
Ask,,21.65,12.4,810,16.65,23.7,
Bid,,20.8,12.25,810,16.5,19.65,
Bid,31.05,26.0,17.65,800,11.9,16.15,18.5
Ask,36.0,26.65,17.75,800,12.05,16.5,28.7
Ask,,51.45,24.2,790,8.55,14.05,
Bid,,27.5,23.95,790,8.45,12.05,
Ask,,41.3,31.65,780,6.05,9.95,0.0
Bid,,35.35,31.3,780,6.0,9.25,10.1
Ask,,,40.0,770,4.35,9.1,
Bid,,,39.5,770,4.3,5.55,
Bid,,51.4,48.3,760,3.1,5.55,7.1
Ask,,57.1,48.75,760,3.15,5.8,17.95
Ask,,,57.8,750,2.3,5.4,
Bid,,,57.4,750,2.25,2.6,
Bid,,69.7,66.75,740,1.6,3.6,4.15
Ask,,74.25,67.15,740,1.7,3.65,0.0
Bid,,,76.1,730,1.2,1.8,
Ask,,,76.75,730,1.25,3.55,
Bid,,87.4,84.85,720,0.9,0.9,1.0
Ask,,96.95,87.0,720,0.95,5.2,0.0
Ask,,,97.1,710,0.75,,
Bid,,,93.7,710,0.7,,
Bid,,106.6,105.25,700,0.6,0.6,
Ask,,114.65,106.15,700,0.65,3.75,
Ask,,136.9,129.4,680,0.4,5.8,0.0
Bid,,126.0,122.75,680,0.35,0.35,0.05
