TATACONSUM | <a target="_blank" href="https://www.tradingview.com/chart/Lm41gt6O/?symbol=TATACONSUM&interval=D">📊</a><a target="_blank" href="https://in.tradingview.com/symbols/TATACONSUM/">🎯</a>,1064.5,202.133,91,2025-05-29,0.78,8.25,18,045 cr,1,322 cr,buy,930.1,882.9,100.0,1016.09,913.41,836.95,1.48,3.88,3.88
Chain,CE_11-25,CE_10-25,CE_09-25,strikePrice,PE_09-25,PE_10-25,PE_11-25
Bid,,0.0,,1280,,,
Ask,,3.5,,1280,,,
Ask,,,1.4,1260,194.75,,
Bid,,,0.15,1260,183.15,,
Ask,0.0,0.0,0.7,1240,173.6,,
Bid,0.1,0.1,0.55,1240,163.85,,
Ask,,14.35,1.4,1220,154.15,160.55,
Bid,,0.1,0.6,1220,144.45,139.6,
Bid,,,0.5,1210,133.5,,
Ask,,,1.5,1210,145.0,,
Bid,0.1,4.9,1.25,1200,124.1,124.45,
Ask,0.0,10.1,1.3,1200,134.05,137.2,
Ask,,,1.7,1190,125.05,,
Bid,,,1.05,1190,114.55,,
Ask,,20.0,2.0,1180,115.05,126.7,
Bid,,0.15,1.85,1180,104.95,100.15,
Bid,,,2.4,1170,95.55,,
Ask,,,2.5,1170,106.1,,
Bid,,4.5,3.05,1160,88.4,85.05,
Ask,,25.0,3.25,1160,96.65,112.2,
Bid,,0.0,3.95,1150,82.6,,
Ask,,0.0,4.1,1150,87.25,,
Ask,,25.0,5.25,1140,79.15,93.75,
Bid,,0.0,5.05,1140,69.3,63.9,
Ask,,0.0,6.7,1130,70.4,,
Bid,,0.0,6.45,1130,61.4,,
Bid,,0.0,8.15,1120,57.05,0.0,
Ask,,21.2,8.5,1120,58.7,70.6,
Bid,,0.0,9.8,1110,47.15,,
Ask,,0.0,10.7,1110,52.9,,
Bid,,20.0,13.05,1100,42.3,41.35,
Ask,,50.2,13.5,1100,42.95,71.25,
Bid,,0.0,16.45,1090,35.6,,
Ask,,0.0,16.9,1090,37.95,,
Bid,,0.0,20.15,1080,29.85,0.0,
Ask,,0.0,20.7,1080,32.7,73.4,
Bid,,0.0,25.1,1070,24.55,,
Ask,,0.0,25.4,1070,24.85,,
Ask,,0.0,30.9,1060,20.35,0.0,
Bid,,31.0,30.2,1060,19.9,22.25,
Bid,,,34.45,1050,15.8,17.1,
Ask,,,36.75,1050,16.25,0.0,
Bid,,44.1,39.05,1040,12.6,15.25,
Ask,,0.0,45.7,1040,13.0,0.0,
Bid,,,45.95,1030,9.5,11.3,
Ask,,,53.7,1030,10.25,0.0,
Bid,,58.35,53.95,1020,7.7,9.85,
Ask,,0.0,61.25,1020,8.0,0.0,
Bid,,,62.0,1010,5.9,,
Ask,,,69.8,1010,6.2,,
Bid,,73.9,71.8,1000,4.55,5.95,
Ask,,0.0,75.35,1000,4.65,0.0,
Bid,,,78.0,990,3.4,,
Ask,,,89.25,990,3.55,,
Bid,,89.15,88.3,980,2.55,0.0,
Ask,,0.0,98.4,980,2.75,0.0,
Ask,,,107.75,970,2.15,,
Bid,,,97.0,970,2.0,,
Bid,,108.9,105.6,960,1.2,,
Ask,,0.0,117.15,960,1.95,,
Bid,,,116.4,950,1.0,,
Ask,,,126.5,950,1.9,,
Bid,,128.65,125.7,940,0.8,,
Ask,,0.0,136.25,940,0.9,,
Ask,,,156.65,920,1.55,,
Bid,,,145.4,920,0.35,,
Bid,,,165.0,900,0.35,0.0,
Ask,,,175.75,900,0.9,0.0,
Ask,,,196.3,880,1.45,0.0,
Bid,,,185.45,880,0.1,0.0,
