PARAGMILK,Dividend,896,5.0,294.14,85.9,0.34,Sep-09,Sep-22,5.33
NAVNETEDUL,Dividend,883,5.0,163.09,83.15,0.92,Sep-05,Sep-22,3.06
PREMEXPLN,Dividend,911,1.0,622.4,46.05,0.08,Aug-14,Sep-23,4.69
HPL,Dividend,935,1.0,484.05,142.42,0.21,Sep-09,Sep-22,3.02
MOLDTKPAC,Dividend,980,5.0,826.7,192.14,0.24,Aug-31,Sep-23,2.59
JINDALPOLY,Dividend,992,5.0,611.75,940.47,0.96,Sep-09,Sep-23,2.82
SMSPHARMA,Dividend,983,1.0,292.14,72.15,0.14,Aug-12,Sep-22,6.06
VINCOFE,Dividend,1062,1.0,149.77,24.02,0.07,Sep-09,Sep-22,3.67
DCW,Dividend,1058,5.0,74.26,35.39,0.13,Sep-05,Sep-22,1.98
ACCELYA,Dividend,1055,5.0,1490.5,186.01,2.68,Aug-09,Oct-23,2.13
ACCELYA,Dividend,1055,5.0,1490.5,186.01,2.68,Sep-05,Oct-24,2.13
NIBE,Dividend,1101,1.0,1324.5,185.46,0.09,Sep-02,Sep-23,4.14
HARIOMPIPE,Dividend,1145,5.0,550.15,188.01,0.11,Sep-02,Sep-23,5.64
CONFIPET,Dividend,1170,5.0,47.65,40.2,0.21,Sep-09,Sep-23,2.89
MONTECARLO,Dividend,1217,5.0,670.75,402.5,2.98,Sep-03,Sep-22,1.71
CREST,Dividend,1302,1.0,380.6,423.27,0.26,Sep-05,Sep-23,2.5
OMINFRAL,Dividend,1305,1.0,110.29,71.09,0.36,Sep-08,Sep-22,2.18
SATIA,Dividend,1368,1.0,83.34,104.78,0.24,Sep-08,Sep-23,2.26
RPPINFRA,Dividend,1424,1.0,140.74,106.87,0.36,Sep-12,Sep-23,4.15
COMSYN,Dividend,1448,1.0,155.34,37.56,0.26,Sep-05,Sep-22,1.58
GUJAPOLLO,Dividend,1463,1.0,476.05,382.23,0.42,Aug-19,Sep-23,3.45
CYBERTECH,Dividend,1480,1.0,169.51,79.49,2.36,Sep-12,Sep-22,3.08
RUCHIRA,Dividend,1489,5.0,170.03,156.37,2.94,Aug-12,Sep-22,3.79
MOLDTECH,Dividend,1500,1.0,161.98,41.49,0.62,Aug-31,Sep-23,3.91
HPAL,Dividend,1512,5.0,49.38,19.92,0.81,Sep-02,Sep-25,3.92
SMSLIFE,Dividend,1555,1.0,1184.5,649.96,0.13,Aug-31,Sep-24,4.42
AVG,Dividend,1549,1.0,242.43,173.62,0.49,Aug-19,Sep-23,4.0
INTENTECH,Dividend,1583,1.0,126.41,60.59,0.79,Aug-19,Sep-23,4.71
DEVIT,Dividend,1622,1.0,43.1,12.1,0.23,Sep-09,Sep-23,4.07
VETO,Dividend,1629,1.0,121.69,135.74,0.82,Sep-08,Sep-22,4.32
CORDSCABLE,Dividend,1628,1.0,180.06,138.19,0.56,Aug-09,Sep-22,3.33
AARTECH,Dividend,1658,1.0,57.89,9.62,0.22,Sep-08,Sep-23,3.16
AHLADA,Dividend,1751,1.0,61.07,107.69,2.62,Aug-19,Sep-22,3.12
BAJAJHLDNG,Dividend,59,5.0,13206.0,5632.63,0.49,Sep-17,Sep-22,2.12
FLUOROCHEM,Dividend,217,5.0,3801.3,660.37,0.08,Sep-08,Sep-22,3.19
MAHSCOOTER,Dividend,346,5.0,17780.0,27005.01,0.9,Sep-17,Sep-22,4.28
BEML,Dividend,376,5.0,4356.2,693.35,0.03,Sep-08,Sep-22,3.11
SWANCORP,Dividend,433,5.0,488.35,310.61,0.02,Sep-08,Sep-22,3.62
SWANENERGY,Dividend,432,5.0,488.35,310.61,0.02,Aug-20,Sep-22,3.62
SUDARSCHEM,Dividend,508,5.0,1474.4,437.82,0.31,Sep-09,Sep-22,2.64
TI,Dividend,588,5.0,459.3,45.74,0.22,Sep-09,Sep-23,3.67
PNCINFRA,Dividend,625,5.0,306.65,233.29,0.2,Aug-19,Sep-22,2.08
FISCHER,Dividend,652,1.0,113.6,3.03,0.04,Aug-24,Sep-22,6.82
AURIONPRO,Dividend,669,1.0,1233.1,279.89,0.24,Sep-09,Sep-22,4.93
AHLUCONT,Dividend,679,5.0,988.35,268.48,0.06,Aug-29,Sep-22,2.87
SUNTECK,Dividend,681,5.0,450.05,222.56,0.33,Sep-09,Sep-23,2.66
INDIAGLYCO,Dividend,743,5.0,873.0,364.35,0.57,Sep-03,Sep-23,2.55
NFL,Dividend,781,5.0,98.39,55.41,1.59,Aug-19,Sep-22,1.94
ZOTA,Dividend,816,1.0,1445.3,78.12,0.07,Sep-08,Sep-22,3.48
SSWL,Dividend,860,5.0,244.01,103.72,0.51,Aug-09,Sep-23,2.9
GUFICBIO,Dividend,870,5.0,369.95,59.96,0.03,Sep-09,Sep-22,2.79
PAISALO,Dividend,890,1.0,39.05,16.91,0.26,Aug-09,Sep-22,5.09
CREATIVE,Dividend,1328,1.0,639.75,143.14,0.08,Aug-29,Sep-23,3.16
GANECOS,Support,900,5.0,1277.6,454.36,2.57,2.57,88.96,2.48
PARKHOTELS,Support,907,5.0,157.78,59.95,8.41,,,2.78
VISHNU,Support,910,5.0,497.75,137.68,6.03,50.38,97.56,3.39
POLYPLEX,Support,912,5.0,1065.7,1198.57,4.28,4.28,72.98,2.74
BHAGCHEM,Support,913,1.0,257.05,52.61,-1.15,61.1,,3.66
KDDL,Support,922,5.0,2623.9,737.5,8.15,21.87,96.15,4.26
HIKAL,Support,914,5.0,269.4,102.34,-21.14,7.16,78.88,2.79
PRECWIRE,Support,916,1.0,182.36,32.25,7.59,43.22,95.47,3.29
JASH,Support,915,1.0,522.9,68.55,3.45,83.85,,2.02
EMSLIMITED,Support,926,5.0,574.75,175.7,1.23,,,2.26
GATEWAY,Support,920,5.0,65.12,44.16,3.41,12.7,,1.89
WSTCSTPAPR,Support,927,5.0,483.2,528.61,2.08,20.3,79.29,1.7
IMAGICAA,Support,924,5.0,56.57,23.1,0.48,96.73,96.73,2.48
EASEMYTRIP,Support,925,5.0,8.79,1.88,-22.87,-110.47,,2.75
SUNDROP,Support,937,5.0,824.8,381.56,5.72,,,3.34
RAMRAT,Support,932,1.0,671.8,109.75,6.8,32.03,,4.04
SIYSIL,Support,941,5.0,681.65,282.81,3.61,39.91,86.28,2.61
SHAREINDIA,Support,940,5.0,142.26,88.31,0.74,-39.27,,2.74
TCPLPACK,Support,931,1.0,3454.7,707.43,-1.34,13.16,96.24,1.91
NOCIL,Support,945,5.0,181.2,105.51,5.81,-20.28,75.17,2.62
DALMIASUG,Support,944,5.0,374.3,399.62,7.56,22.25,89.38,1.95
PRAKASH,Support,949,5.0,167.71,185.32,7.58,20.99,88.94,3.21
ARVSMART,Support,951,5.0,649.25,131.24,7.43,77.89,90.68,2.3
HONDAPOWER,Support,956,5.0,2894.0,851.35,7.58,25.5,74.91,1.52
STYLAMIND,Support,960,5.0,1713.0,389.11,6.96,14.52,,3.16
ORISSAMINE,Support,958,1.0,4871.8,-85.97,5.55,2.83,89.3,2.75
MTNL,Support,965,1.0,45.14,-427.29,6.89,17.1,90.14,2.42
SOTL,Support,968,5.0,411.6,242.2,4.29,43.56,76.92,2.08
LAOPALA,Support,971,5.0,252.17,74.27,6.37,-15.16,48.25,2.32
TCIEXP,Support,985,5.0,710.75,199.17,8.34,-40.39,,2.81
