Symbol,Rank,MTF,Quality Score,LTP,Stock Name,Sector,Intrinsic,Dividend%,Announced,Executed,Revenue,Net Profit,Recommended,Projected High,Projected Medium,Projected Low,All time high,SMA 200,RSI,Day Volatility,Week Volatility,Month Volatility,Day Trend,Week Trend,Month Trend,Day Support,Week Support,Month Support,Day NWE,Week NWE,Month NWE
RELIANCE,1.0,5.0,7.0,1383.0,RELIANCE INDUSTRIES LTD,Energy,623.05,,,,976541 cr,81504 cr,buy,1850.0,1660.0,1300.0,1608.8 => 14.0%,1340.43 => 3.08%,45.2,1.04,3.14,9.33,Downtrend,Downtrend,Downtrend,1114.85 => 19.39%,1114.85 => 19.39%,1006.07 => 27.25%,1325.2 => 4.18%,1240.79 => 10.28%,1142.76 => 17.37%
HDFCBANK,2.0,5.0,8.0,951.05,HDFC BANK LTD,Financial Services,354.29,,,,273606 cr,70575 cr,strong_buy,1390.0,1136.0,1016.0,1018.85 => 7.0%,930.16 => 2.2%,35.49,1.18,2.66,6.37,Downtrend,Downtrend,Downtrend,681.78 => 28.31%,681.78 => 28.31%,681.78 => 28.31%,940.22 => 1.14%,890.37 => 6.38%,786.05 => 17.35%
BHARTIARTL,3.0,5.0,8.0,1931.1,BHARTI AIRTEL LIMITED,Communication Services,196.59,,,,183941 cr,35344 cr,buy,2500.0,2125.0,1375.0,2045.8 => 6.0%,1789.13 => 7.35%,54.11,1.48,2.98,7.29,Downtrend,Downtrend,Downtrend,0.0 => 100.0%,735.8 => 61.9%,628.75 => 67.44%,1844.34 => 4.49%,1719.25 => 10.97%,1495.01 => 22.58%
TCS,4.0,5.0,8.0,3035.4,TATA CONSULTANCY SERV LT,Technology,270.61,,,,256148 cr,49273 cr,buy,4500.0,3690.5,2620.0,4592.25 => 34.0%,3559.72 => -17.27%,40.16,1.19,3.43,8.11,Downtrend,Downtrend,Downtrend,3591.5 => -18.32%,3591.5 => -18.32%,2926.1 => 3.6%,2956.11 => 2.61%,2671.39 => 11.99%,2922.69 => 3.71%
ICICIBANK,5.0,5.0,8.0,1382.7,ICICI BANK LTD.,Financial Services,461.87,,,,205485 cr,52891 cr,strong_buy,1900.0,1690.0,1440.0,1500.0 => 8.0%,1362.12 => 1.49%,32.74,0.99,2.28,6.29,Downtrend,Downtrend,Downtrend,1186.0 => 14.23%,1186.0 => 14.23%,268.3 => 80.6%,1364.26 => 1.33%,1312.2 => 5.1%,1147.6 => 17.0%
SBIN,6.0,5.0,8.0,866.2,STATE BANK OF INDIA,Financial Services,583.19,,,,350384 cr,79438 cr,strong_buy,1050.0,950.0,720.0,912.0 => 5.0%,789.63 => 8.84%,71.65,1.92,2.82,6.39,Downtrend,Downtrend,Downtrend,680.0 => 21.5%,680.0 => 21.5%,149.45 => 82.75%,811.55 => 6.31%,728.77 => 15.87%,669.17 => 22.75%
BAJFINANCE,7.0,5.0,8.0,1029.75,BAJAJ FINANCE LIMITED,Financial Services,155.75,,,,38776 cr,17425 cr,buy,1180.0,1000.0,640.0,1028.8 => 0.0%,866.37 => 15.87%,76.09,1.68,4.79,7.57,Downtrend,Downtrend,Downtrend,618.78 => 39.91%,618.78 => 39.91%,522.0 => 49.31%,929.93 => 9.69%,835.81 => 18.83%,673.32 => 34.61%
INFY,8.0,5.0,7.0,1494.6,INFOSYS LIMITED,Technology,2.67,,,,1950 cr,320 cr,buy,2085.0,1750.0,1440.0,2006.45 => 26.0%,1645.44 => -10.09%,48.04,1.32,4.65,8.61,Downtrend,Downtrend,Downtrend,1307.0 => 12.55%,1307.0 => 12.55%,1185.3 => 20.69%,1421.55 => 4.89%,1261.9 => 15.57%,1291.83 => 13.57%
HINDUNILVR,9.0,5.0,8.0,2549.5,HINDUSTAN UNILEVER LTD.,Consumer Defensive,210.26,,,,63928 cr,10795 cr,buy,3240.0,2791.5,1966.0,3035.0 => 16.0%,2391.49 => 6.2%,43.65,1.57,3.93,6.49,Downtrend,Downtrend,Downtrend,2136.0 => 16.22%,2136.0 => 16.22%,2172.05 => 14.8%,2471.57 => 3.06%,2225.35 => 12.71%,2056.74 => 19.33%
LICI,10.0,5.0,8.0,894.25,LIFE INSURA CORP OF INDIA,Financial Services,201.15,,,,903865 cr,51550 cr,buy,1450.0,1100.0,850.0,1222.0 => 27.0%,861.79 => 3.63%,54.55,1.2,3.85,9.12,Downtrend,Downtrend,Downtrend,715.3 => 20.01%,715.3 => 20.01%,530.05 => 40.73%,833.76 => 6.76%,759.3 => 15.09%,0.0 => 100.0%
